AOU,English_Common_Name,Order,Genus,Species_y,yrs with observations,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,ruta,Latitude,Longitude
5110,Common Grackle,Passeriformes,Quiscalus,quiscula,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,476,357,344,336,235,224,134,198,140,146,105,102,172,119,125,120,124,106,101,147,100,110,0,87,87,84,0,8404637,39.10312,-76.192383
5190,House Finch,Passeriformes,Haemorhous,mexicanus,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,23,50,43,20,16,11,9,11,13,7,5,8,11,7,13,3,7,1,2,4,1,0,9,7,3,0,8404637,39.10312,-76.192383
5290,American Goldfinch,Passeriformes,Spinus,tristis,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,16,24,22,40,22,14,18,15,19,9,18,14,11,12,24,16,7,14,12,11,10,8,0,9,12,16,0,8404637,39.10312,-76.192383
5600,Chipping Sparrow,Passeriformes,Spizella,passerina,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,32,39,28,39,38,31,28,39,27,25,37,26,33,33,32,35,21,37,28,26,21,24,0,45,30,47,0,8404637,39.10312,-76.192383
5810,Song Sparrow,Passeriformes,Melospiza,melodia,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,28,25,32,36,28,18,26,15,13,29,23,17,16,7,13,15,10,14,12,11,11,0,17,4,12,0,8404637,39.10312,-76.192383
5980,Indigo Bunting,Passeriformes,Passerina,cyanea,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,51,63,57,46,44,28,34,32,30,31,39,33,31,49,26,34,29,34,32,32,30,25,0,35,28,37,0,8404637,39.10312,-76.192383
4980,Red-winged Blackbird,Passeriformes,Agelaius,phoeniceus,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,234,172,158,134,106,107,75,103,72,85,78,84,104,82,83,74,66,59,79,86,69,63,0,90,73,83,0,8404637,39.10312,-76.192383
5060,Orchard Oriole,Passeriformes,Icterus,spurius,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,22,12,14,8,10,5,6,9,10,3,4,5,8,8,3,5,7,5,5,1,2,0,3,2,5,0,8404637,39.10312,-76.192383
4880,American Crow,Passeriformes,Corvus,brachyrhynchos,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,35,40,40,58,52,50,27,18,27,24,20,41,42,42,35,26,36,23,29,34,40,35,0,28,21,17,0,8404637,39.10312,-76.192383
4900,Fish Crow,Passeriformes,Corvus,ossifragus,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,54,37,70,254,85,46,10,21,19,28,22,24,21,17,20,9,10,16,10,21,13,9,0,14,17,13,0,8404637,39.10312,-76.192383
4930,European Starling,Passeriformes,Sturnus,vulgaris,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,163,145,104,89,78,64,53,57,68,88,68,58,64,58,66,52,48,47,24,56,46,45,0,28,37,41,0,8404637,39.10312,-76.192383
4950,Brown-headed Cowbird,Passeriformes,Molothrus,ater,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21,26,14,12,17,8,6,16,14,8,14,11,14,8,10,8,10,10,8,19,12,13,0,19,22,12,0,8404637,39.10312,-76.192383
4770,Blue Jay,Passeriformes,Cyanocitta,cristata,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,17,8,9,21,4,9,8,14,8,12,6,14,5,13,7,4,8,3,7,5,8,0,9,1,11,0,8404637,39.10312,-76.192383
4740,Horned Lark,Passeriformes,Eremophila,alpestris,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,11,29,13,13,11,5,8,6,5,5,8,7,9,6,8,6,8,5,11,10,5,0,5,5,7,0,8404637,39.10312,-76.192383
6520,Yellow Warbler,Passeriformes,Setophaga,petechia,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,4,3,12,9,12,7,5,7,8,4,5,1,5,8,4,8,2,7,3,8,6,0,4,4,1,0,8405068,46.3901207,-93.0960859
6870,American Redstart,Passeriformes,Setophaga,ruticilla,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,1,9,4,6,3,3,5,3,3,5,7,2,11,6,4,4,3,5,4,3,0,5,6,4,0,8405068,46.3901207,-93.0960859
6790,Mourning Warbler,Passeriformes,Geothlypis,philadelphia,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,4,6,10,5,8,9,1,14,16,9,10,4,9,5,10,7,4,11,3,4,3,0,7,3,3,0,8405068,46.3901207,-93.0960859
6810,Common Yellowthroat,Passeriformes,Geothlypis,trichas,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,65,56,38,35,35,51,35,35,32,47,22,32,40,31,38,37,33,25,36,36,34,20,0,39,27,35,0,8405068,46.3901207,-93.0960859
6740,Ovenbird,Passeriformes,Seiurus,aurocapilla,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,18,30,14,35,35,34,32,30,27,28,21,27,11,27,21,35,18,16,23,10,14,16,0,29,19,22,0,8405068,46.3901207,-93.0960859
6590,Chestnut-sided Warbler,Passeriformes,Setophaga,pensylvanica,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,26,23,8,20,23,24,14,11,12,23,19,18,18,19,24,21,15,10,21,9,16,16,0,21,9,11,0,8405068,46.3901207,-93.0960859
7240,Sedge Wren,Passeriformes,Cistothorus,stellaris,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,30,40,29,18,31,15,31,24,24,22,34,13,20,33,32,26,18,24,18,37,19,0,19,22,19,0,8405068,46.3901207,-93.0960859
7610,American Robin,Passeriformes,Turdus,migratorius,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,40,26,37,31,26,34,34,43,28,29,23,28,19,28,39,34,12,9,39,16,9,16,0,27,9,7,0,8405068,46.3901207,-93.0960859
7040,Gray Catbird,Passeriformes,Dumetella,carolinensis,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,18,16,9,6,13,10,10,8,7,3,12,13,8,11,13,9,9,10,11,10,4,0,11,4,3,0,8405068,46.3901207,-93.0960859
7560,Veery,Passeriformes,Catharus,fuscescens,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,31,47,36,19,24,34,14,18,15,34,12,27,27,27,21,24,28,31,29,24,25,21,0,32,10,20,0,8405068,46.3901207,-93.0960859
7590,Hermit Thrush,Passeriformes,Catharus,guttatus,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,15,10,11,6,9,6,5,16,10,5,8,12,10,13,6,11,6,9,7,13,7,0,13,5,10,0,8405068,46.3901207,-93.0960859
6130,Barn Swallow,Passeriformes,Hirundo,rustica,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,6,25,10,4,3,9,8,12,11,19,6,4,4,7,8,2,2,4,1,2,2,0,6,1,4,0,8405068,46.3901207,-93.0960859
4560,Eastern Phoebe,Passeriformes,Sayornis,phoebe,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,9,11,8,10,4,1,5,5,11,4,4,4,2,7,3,2,3,6,2,1,2,0,1,2,1,0,8405068,46.3901207,-93.0960859
4670,Least Flycatcher,Passeriformes,Empidonax,minimus,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,13,9,2,2,5,7,9,6,9,7,8,9,17,14,6,4,2,12,8,15,7,0,15,7,5,0,8405068,46.3901207,-93.0960859
5580,White-throated Sparrow,Passeriformes,Zonotrichia,albicollis,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,13,8,9,11,12,5,10,12,10,7,19,16,8,16,23,10,10,10,13,8,6,0,6,3,5,0,8405068,46.3901207,-93.0960859
5420,Savannah Sparrow,Passeriformes,Passerculus,sandwichensis,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,18,17,15,8,30,22,24,19,22,16,21,21,15,21,17,26,11,12,6,10,9,0,4,3,8,0,8405068,46.3901207,-93.0960859
4661,Alder Flycatcher,Passeriformes,Empidonax,alnorum,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,24,3,8,29,37,28,12,10,22,29,14,40,7,20,31,45,6,17,29,9,10,8,0,9,10,11,0,8405068,46.3901207,-93.0960859
4770,Blue Jay,Passeriformes,Cyanocitta,cristata,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,13,22,17,12,32,10,10,13,8,12,11,5,5,18,16,22,10,19,4,10,1,0,23,7,6,0,8405068,46.3901207,-93.0960859
4880,American Crow,Passeriformes,Corvus,brachyrhynchos,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,38,47,60,33,40,56,28,40,29,31,19,27,48,39,35,26,43,22,40,25,22,6,0,12,14,8,0,8405068,46.3901207,-93.0960859
4950,Brown-headed Cowbird,Passeriformes,Molothrus,ater,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,31,22,8,7,6,2,10,18,4,8,4,2,4,7,11,14,1,2,2,4,1,0,8,3,4,0,8405068,46.3901207,-93.0960859
4860,Common Raven,Passeriformes,Corvus,corax,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,3,1,5,6,2,9,4,10,6,10,6,2,5,10,16,7,10,22,6,10,6,0,10,6,6,0,8405068,46.3901207,-93.0960859
4980,Red-winged Blackbird,Passeriformes,Agelaius,phoeniceus,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,28,32,39,43,40,27,40,35,46,39,25,35,31,24,41,46,18,37,32,5,20,14,0,23,21,16,0,8405068,46.3901207,-93.0960859
6240,Red-eyed Vireo,Passeriformes,Vireo,olivaceus,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,28,25,21,25,23,10,25,23,29,16,15,9,9,24,20,18,11,29,12,14,14,0,19,11,16,0,8405068,46.3901207,-93.0960859
5950,Rose-breasted Grosbeak,Passeriformes,Pheucticus,ludovicianus,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,12,10,6,6,19,5,5,16,11,5,15,15,12,16,9,10,5,20,9,9,1,0,6,8,5,0,8405068,46.3901207,-93.0960859
5610,Clay-colored Sparrow,Passeriformes,Spizella,pallida,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,1,6,5,3,1,1,6,2,2,1,5,4,7,4,5,6,3,2,3,2,0,6,1,1,0,8405068,46.3901207,-93.0960859
6140,Tree Swallow,Passeriformes,Tachycineta,bicolor,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,27,48,102,42,31,30,37,37,18,26,23,20,161,17,17,12,15,20,20,19,6,2,0,12,4,6,0,8405068,46.3901207,-93.0960859
5840,Swamp Sparrow,Passeriformes,Melospiza,georgiana,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,23,16,10,10,16,8,12,9,12,9,8,18,7,20,16,14,7,11,21,9,8,0,17,9,6,0,8405068,46.3901207,-93.0960859
5810,Song Sparrow,Passeriformes,Melospiza,melodia,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,41,38,33,16,20,24,35,30,31,32,20,26,33,17,21,14,19,7,22,18,16,12,0,15,6,9,0,8405068,46.3901207,-93.0960859
6450,Nashville Warbler,Passeriformes,Leiothlypis,ruficapilla,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,21,14,13,22,20,29,22,20,17,16,22,36,11,16,8,36,11,17,24,9,6,11,0,8,14,16,0,8405068,46.3901207,-93.0960859
6360,Black-and-white Warbler,Passeriformes,Mniotilta,varia,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,7,5,13,8,12,6,11,14,15,15,8,9,10,17,27,10,15,17,3,11,7,0,8,9,4,0,8405068,46.3901207,-93.0960859
5600,Chipping Sparrow,Passeriformes,Spizella,passerina,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,10,6,8,8,7,6,6,4,13,6,5,12,11,11,8,11,2,7,5,7,1,0,4,2,2,0,8405068,46.3901207,-93.0960859
4610,Eastern Wood-Pewee,Passeriformes,Contopus,virens,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,6,7,3,8,4,4,4,3,7,7,10,7,1,1,3,2,1,1,1,3,4,0,3,4,1,0,84063228,36.2714197,-81.5907129
4650,Acadian Flycatcher,Passeriformes,Empidonax,virescens,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,12,12,8,10,4,7,6,3,8,4,3,4,5,10,3,5,7,5,5,1,5,0,3,3,3,0,84063228,36.2714197,-81.5907129
4560,Eastern Phoebe,Passeriformes,Sayornis,phoebe,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,16,13,19,14,12,19,16,13,19,15,20,15,7,19,5,13,4,6,17,8,11,0,20,20,13,0,84063228,36.2714197,-81.5907129
3160,Mourning Dove,Columbiformes,Zenaida,macroura,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,25,29,18,31,26,25,37,20,20,44,32,20,29,22,14,26,9,10,35,17,17,0,26,22,20,0,84063228,36.2714197,-81.5907129
5810,Song Sparrow,Passeriformes,Melospiza,melodia,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,56,66,53,68,72,67,75,85,74,70,77,65,65,58,73,58,62,57,56,67,52,40,0,44,53,46,0,84063228,36.2714197,-81.5907129
5870,Eastern Towhee,Passeriformes,Pipilo,erythrophthalmus,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,17,18,30,28,23,18,16,25,25,30,35,32,28,27,30,39,23,23,26,14,26,0,14,14,22,0,84063228,36.2714197,-81.5907129
6810,Common Yellowthroat,Passeriformes,Geothlypis,trichas,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,11,17,8,9,11,10,9,6,15,14,10,14,12,17,19,9,14,10,12,8,8,0,7,8,7,0,84063228,36.2714197,-81.5907129
7550,Wood Thrush,Passeriformes,Hylocichla,mustelina,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,14,14,21,10,19,18,11,18,15,19,14,14,15,17,17,7,21,13,21,2,10,0,9,10,3,0,84063228,36.2714197,-81.5907129
6590,Chestnut-sided Warbler,Passeriformes,Setophaga,pensylvanica,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,16,14,17,9,12,18,11,5,17,11,2,6,3,8,6,7,4,2,3,6,3,0,4,4,4,0,84063228,36.2714197,-81.5907129
6740,Ovenbird,Passeriformes,Seiurus,aurocapilla,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,6,3,4,3,4,4,5,4,1,6,9,1,4,5,2,1,2,5,3,2,1,0,3,4,2,0,84063228,36.2714197,-81.5907129
7210,House Wren,Passeriformes,Troglodytes,aedon,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,15,11,17,15,13,15,12,12,13,22,19,8,10,12,15,10,14,15,12,10,9,0,14,12,7,0,84063228,36.2714197,-81.5907129
7660,Eastern Bluebird,Passeriformes,Sialia,sialis,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,7,10,3,5,4,2,3,2,4,5,2,1,2,3,8,5,6,4,2,2,0,2,3,1,0,84063228,36.2714197,-81.5907129
7310,Tufted Titmouse,Passeriformes,Baeolophus,bicolor,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,22,19,12,12,33,20,17,22,17,19,38,23,10,25,26,12,22,13,18,30,25,26,0,27,18,17,0,84063228,36.2714197,-81.5907129
7360,Carolina Chickadee,Passeriformes,Poecile,carolinensis,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,16,9,11,9,13,3,12,14,25,7,15,17,9,13,8,18,10,4,4,5,5,0,1,10,2,0,84063228,36.2714197,-81.5907129
7610,American Robin,Passeriformes,Turdus,migratorius,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,37,45,53,46,50,46,54,47,53,47,51,54,58,58,34,50,63,31,48,64,31,34,0,40,47,58,0,84063228,36.2714197,-81.5907129
6882,House Sparrow,Passeriformes,Passer,domesticus,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,2,19,18,17,7,8,20,12,9,13,13,6,10,9,4,10,5,10,8,3,2,0,6,8,2,0,84063228,36.2714197,-81.5907129
7040,Gray Catbird,Passeriformes,Dumetella,carolinensis,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,36,28,21,12,28,31,35,27,29,28,34,26,33,28,27,26,27,17,30,13,20,0,15,16,19,0,84063228,36.2714197,-81.5907129
7180,Carolina Wren,Passeriformes,Thryothorus,ludovicianus,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,18,2,6,18,18,10,16,19,18,25,22,7,10,25,15,17,13,22,20,18,17,0,16,19,10,0,84063228,36.2714197,-81.5907129
6240,Red-eyed Vireo,Passeriformes,Vireo,olivaceus,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,34,46,51,50,25,56,50,38,40,53,38,53,53,56,38,39,42,37,45,19,38,0,46,50,29,0,84063228,36.2714197,-81.5907129
6290,Blue-headed Vireo,Passeriformes,Vireo,solitarius,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,2,3,4,6,3,4,5,2,5,1,3,4,4,3,4,4,3,2,3,5,0,1,4,3,0,84063228,36.2714197,-81.5907129
5110,Common Grackle,Passeriformes,Quiscalus,quiscula,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,18,37,17,33,27,34,33,61,31,43,25,59,25,19,113,66,15,20,32,14,30,0,22,25,14,0,84063228,36.2714197,-81.5907129
5290,American Goldfinch,Passeriformes,Spinus,tristis,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,18,51,49,45,37,27,41,22,25,46,59,45,29,33,27,43,44,21,40,48,31,18,0,9,16,13,0,84063228,36.2714197,-81.5907129
5930,Northern Cardinal,Passeriformes,Cardinalis,cardinalis,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,20,19,12,13,11,26,26,22,22,28,19,14,23,26,15,21,18,11,16,8,12,0,19,29,20,0,84063228,36.2714197,-81.5907129
5980,Indigo Bunting,Passeriformes,Passerina,cyanea,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,35,48,49,49,39,49,47,53,48,43,42,32,40,41,48,32,39,35,27,34,19,29,0,14,17,13,0,84063228,36.2714197,-81.5907129
6080,Scarlet Tanager,Passeriformes,Piranga,olivacea,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,8,8,9,10,7,8,10,10,7,6,8,9,5,7,2,7,7,12,6,9,0,5,8,4,0,84063228,36.2714197,-81.5907129
6280,Yellow-throated Vireo,Passeriformes,Vireo,flavifrons,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,8,3,3,3,3,2,2,3,11,8,3,6,4,6,5,4,3,4,5,6,0,4,3,5,0,84063228,36.2714197,-81.5907129
6190,Cedar Waxwing,Passeriformes,Bombycilla,cedrorum,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,16,21,5,28,31,27,34,26,6,32,8,40,11,6,3,9,2,3,8,1,4,0,13,5,2,0,84063228,36.2714197,-81.5907129
6130,Barn Swallow,Passeriformes,Hirundo,rustica,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,32,55,44,31,31,27,29,90,30,31,42,75,44,52,57,62,33,61,21,38,21,0,17,22,27,0,84063228,36.2714197,-81.5907129
4980,Red-winged Blackbird,Passeriformes,Agelaius,phoeniceus,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,29,28,37,37,36,35,33,48,49,21,46,33,46,43,44,39,45,28,55,53,51,39,0,39,52,57,0,84063228,36.2714197,-81.5907129
4930,European Starling,Passeriformes,Sturnus,vulgaris,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,37,75,76,76,51,34,67,64,23,29,48,39,92,83,63,34,28,25,78,67,25,23,0,28,32,27,0,84063228,36.2714197,-81.5907129
5600,Chipping Sparrow,Passeriformes,Spizella,passerina,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,11,15,3,6,10,11,10,14,9,11,16,10,15,6,8,7,5,5,7,7,4,0,7,1,2,0,84063228,36.2714197,-81.5907129
5630,Field Sparrow,Passeriformes,Spizella,pusilla,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,12,6,8,10,8,9,5,8,14,12,8,10,8,11,17,9,7,8,16,3,6,0,8,5,6,0,84063228,36.2714197,-81.5907129
4880,American Crow,Passeriformes,Corvus,brachyrhynchos,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,37,53,61,54,81,36,47,106,83,50,84,78,52,74,83,49,60,58,89,70,57,49,0,38,41,38,0,84063228,36.2714197,-81.5907129
4770,Blue Jay,Passeriformes,Cyanocitta,cristata,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,9,7,11,4,7,8,8,10,6,8,7,12,21,5,13,14,11,12,7,11,0,11,8,1,0,84063228,36.2714197,-81.5907129
4910,Clark's Nutcracker,Passeriformes,Nucifraga,columbiana,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,9,10,15,6,5,7,4,7,17,1,8,3,4,1,3,7,3,2,4,2,12,0,17,2,2,0,12411208,49.59762,-119.72963
5011,Western Meadowlark,Passeriformes,Sturnella,neglecta,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,54,40,31,22,18,25,12,23,37,33,31,25,22,12,16,7,19,9,11,12,6,18,0,14,11,17,0,12411208,49.59762,-119.72963
4691,Gray Flycatcher,Passeriformes,Empidonax,wrightii,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,9,4,9,4,8,6,7,7,6,7,4,7,7,6,3,8,5,2,7,6,0,8,7,4,0,12411208,49.59762,-119.72963
