AOU,English_Common_Name,Order,Genus,Species_y,yrs with observations,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,ruta,Latitude,Longitude
5930,Northern Cardinal,Passeriformes,Cardinalis,cardinalis,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,25,25,19,26,33,37,31,45,25,26,29,21,38,20,25,19,19,32,28,28,29,29,18,0,24,18,21,0,84063903,34.7300597,-76.9359209
7360,Carolina Chickadee,Passeriformes,Poecile,carolinensis,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,14,6,9,21,20,12,17,8,2,16,8,8,6,1,2,7,13,6,2,6,5,4,4,0,16,23,3,0,84063903,34.7300597,-76.9359209
7510,Blue-gray Gnatcatcher,Passeriformes,Polioptila,caerulea,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,17,16,19,31,22,27,9,19,13,10,9,4,11,4,1,3,13,8,6,6,2,3,7,0,8,13,10,0,84063903,34.7300597,-76.9359209
7290,Brown-headed Nuthatch,Passeriformes,Sitta,pusilla,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,15,16,10,9,20,23,13,12,9,11,16,14,19,11,10,6,8,4,9,28,30,23,28,0,27,21,8,0,84063903,34.7300597,-76.9359209
7310,Tufted Titmouse,Passeriformes,Baeolophus,bicolor,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,14,15,11,15,16,11,22,10,7,5,3,1,5,6,11,15,9,13,9,2,2,2,5,0,4,11,8,0,84063903,34.7300597,-76.9359209
7180,Carolina Wren,Passeriformes,Thryothorus,ludovicianus,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,37,37,59,52,55,40,44,49,49,33,44,49,13,50,28,21,24,22,37,30,25,44,37,55,0,76,71,36,0,84063903,34.7300597,-76.9359209
7030,Northern Mockingbird,Passeriformes,Mimus,polyglottos,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,7,8,9,4,8,9,9,5,6,9,7,11,6,4,8,13,13,10,8,16,11,13,0,11,7,6,0,84063903,34.7300597,-76.9359209
5870,Eastern Towhee,Passeriformes,Pipilo,erythrophthalmus,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,33,34,29,30,34,37,39,53,42,43,42,34,32,33,22,18,17,15,25,22,32,41,39,24,0,22,21,13,0,84063903,34.7300597,-76.9359209
4950,Brown-headed Cowbird,Passeriformes,Molothrus,ater,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,22,15,11,11,11,18,5,13,12,9,10,3,4,6,7,9,0,11,9,1,5,4,7,0,11,6,7,0,84063903,34.7300597,-76.9359209
6740,Ovenbird,Passeriformes,Seiurus,aurocapilla,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,13,9,7,14,12,17,18,13,6,11,1,6,9,7,8,8,7,7,6,2,1,3,0,6,3,0,0,84063903,34.7300597,-76.9359209
4160,Chuck-will's-widow,Caprimulgiformes,Antrostomus,carolinensis,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,2,4,3,3,4,0,7,2,2,1,2,1,6,5,5,7,2,6,3,4,3,2,0,3,1,4,0,84063903,34.7300597,-76.9359209
4120,(Yellow-shafted Flicker) Northern Flicker,Piciformes,Colaptes,auratus auratus,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,4,3,9,4,4,6,1,3,2,6,5,7,4,2,1,2,7,7,1,5,1,8,0,10,8,0,0,84063903,34.7300597,-76.9359209
4090,Red-bellied Woodpecker,Piciformes,Melanerpes,carolinus,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,11,8,6,11,9,12,8,14,7,10,11,5,17,8,3,5,8,4,7,10,12,8,3,0,10,15,0,0,84063903,34.7300597,-76.9359209
5750,Bachman's Sparrow,Passeriformes,Peucaea,aestivalis,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,5,2,0,2,1,5,6,1,7,2,3,7,3,2,5,9,4,8,4,7,8,9,0,4,3,0,0,84063903,34.7300597,-76.9359209
7660,Eastern Bluebird,Passeriformes,Sialia,sialis,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,4,5,8,7,5,0,3,3,3,2,8,3,1,5,3,4,2,10,15,23,34,0,7,13,5,0,84063903,34.7300597,-76.9359209
6310,White-eyed Vireo,Passeriformes,Vireo,griseus,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5,11,7,7,4,0,10,5,3,4,1,7,2,3,2,0,4,6,5,5,4,3,5,0,5,3,1,0,84063903,34.7300597,-76.9359209
6830,Yellow-breasted Chat,Passeriformes,Icteria,virens,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,16,5,8,5,10,8,3,4,2,6,9,3,0,1,3,4,8,4,3,1,2,1,1,0,2,1,0,0,84063903,34.7300597,-76.9359209
4060,Red-headed Woodpecker,Piciformes,Melanerpes,erythrocephalus,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,2,0,1,3,1,5,5,3,4,2,6,3,2,1,2,5,2,6,12,7,11,0,3,8,1,0,84063903,34.7300597,-76.9359209
4650,Acadian Flycatcher,Passeriformes,Empidonax,virescens,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,7,3,13,12,9,8,6,3,5,3,1,7,2,5,5,2,9,11,8,4,5,6,3,0,1,0,0,0,84063903,34.7300597,-76.9359209
