,AOU,n_rutas,first_year,last_year,timeseries length,English_Common_Name,French_Common_Name,Order,Family,Genus,Species
100,1512,60,1999,2023,24,unid. Common Goldeneye / Barrow's Goldeneye,unid Garrot à oeil d'or / Garrot d'Islande,Anseriformes,Anatidae,Bucephala,clangula / islandica
152,2111,58,1997,2023,26,Ridgway's Rail,Râle de Californie,Gruiformes,Rallidae,Rallus,obsoletus
240,3140,56,1998,2023,25,White-crowned Pigeon,Pigeon à couronne blanche,Columbiformes,Columbidae,Patagioenas,leucocephala
75,1280,53,1997,2021,24,Magnificent Frigatebird,Frégate superbe,Suliformes,Fregatidae,Fregata,magnificens
20,270,53,1995,2023,28,Black Guillemot,Guillemot à miroir,Charadriiformes,Alcidae,Cepphus,grylle
495,5370,52,1997,2023,26,Smith's Longspur,Plectrophane de Smith,Passeriformes,Calcariidae,Calcarius,pictus
307,3824,50,1997,2023,26,Monk Parakeet,Conure veuve,Psittaciformes,Psittacidae,Myiopsitta,monachus
205,2800,49,1997,2023,26,Wilson's Plover,Pluvier de Wilson,Charadriiformes,Charadriidae,Charadrius,wilsonia
727,10210,49,2009,2023,14,Muscovy Duck,Canard musqué,Anseriformes,Anatidae,Cairina,moschata
293,3710,49,1997,2023,26,Boreal Owl,Nyctale de Tengmalm,Strigiformes,Strigidae,Aegolius,funereus
722,7650,48,1997,2015,18,Northern Wheatear,Traquet motteux,Passeriformes,Muscicapidae,Oenanthe,oenanthe
350,4172,48,1997,2023,26,Mexican Whip-poor-will,Engoulevent d'Arizona,Caprimulgiformes,Caprimulgidae,Antrostomus,arizonae
383,4451,46,1997,2023,26,Thick-billed Kingbird,Tyran à bec épais,Passeriformes,Tyrannidae,Tyrannus,crassirostris
508,5530,45,1998,2023,25,Harris's Sparrow,Bruant à face noire,Passeriformes,Passerellidae,Zonotrichia,querula
305,3810,45,1997,2023,26,Elf Owl,Chevêchette des saguaros,Strigiformes,Strigidae,Micrathene,whitneyi
178,2429,45,2003,2023,20,unid. small ''peep'' sandpiper,unid petit Bécasseau sp.,Charadriiformes,Scolopacidae,Calidris,sp.
630,6700,45,2000,2023,23,Kirtland's Warbler,Paruline de Kirtland,Passeriformes,Parulidae,Setophaga,kirtlandii
52,670,44,1997,2023,26,Sandwich Tern,Sterne caugek,Charadriiformes,Laridae,Thalasseus,sandvicensis
185,2510,44,1997,2018,21,Hudsonian Godwit,Barge hudsonienne,Charadriiformes,Scolopacidae,Limosa,haemastica
222,2973,43,1998,2022,24,unid. Dusky Grouse / Sooty Grouse,unid Tétras sombre / Tétras fuligineux,Galliformes,Phasianidae,Dendragapus,obscurus / fuliginosus
2,12,41,1997,2023,26,unid. Western Grebe / Clark's Grebe,unid Grèbe élégant / Grèbe à face blanche,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis / clarkii
184,2500,40,1997,2023,26,Bar-tailed Godwit,Barge rousse,Charadriiformes,Scolopacidae,Limosa,lapponica
135,1945,39,2005,2023,18,unid. heron / egret,unid héron / aigrette sp.,Pelecaniformes,Ardeidae,Ardeid,sp.
22,300,38,1997,2019,22,Common Murre,Guillemot marmette,Charadriiformes,Alcidae,Uria,aalge
362,4270,38,1997,2023,26,Blue-throated Mountain-gem,Colibri à gorge bleue,Apodiformes,Trochilidae,Lampornis,clemenciae
6,50,37,1996,2023,27,Least Grebe,Grèbe minime,Podicipediformes,Podicipedidae,Tachybaptus,dominicus
156,2160,37,1997,2023,26,Black Rail,Râle noir,Gruiformes,Rallidae,Laterallus,jamaicensis
463,5077,36,1997,2023,26,unid. Bullock's Oriole / Baltimore Oriole,unid Oriole de Baltimore / Oriole de Bullock's,Passeriformes,Icteridae,Icterus,bullockii / galbula
179,2430,36,1998,2023,25,Dunlin,Bécasseau variable,Charadriiformes,Scolopacidae,Calidris,alpina
145,2035,36,1997,2023,26,unid Black-crowned / Yellow-crowned Night-Heron,unid Bihoreau gris / Bihoreau violacé,Pelecaniformes,Ardeidae,Nycticorax / Nyctanassa,nycticorax / violacea
69,1207,36,1997,2023,26,unid. west coast cormorant,unid Cormoran de la côte ouest,Suliformes,Phalacrocoracidae,Urile,sp.
117,1725,36,2005,2023,18,Cackling Goose,Bernache de Hutchins,Anseriformes,Anatidae,Branta,hutchinsii
313,3860,34,1997,2018,21,Mangrove Cuckoo,Coulicou manioc,Cuculiformes,Cuculidae,Coccyzus,minor
279,3540,34,1997,2022,25,Gyrfalcon,Faucon gerfaut,Falconiformes,Falconidae,Falco,rusticolus
477,5195,34,2004,2023,19,unid. Purple Finch / Cassin's Finch / House Finch,unid Roselin pourpré / de Cassin / familier,Passeriformes,Fringillidae,Carpodacus,purpureus / cassinii / mexicanus
236,3110,33,1997,2023,26,Plain Chachalaca,Ortalide chacamel,Galliformes,Cracidae,Ortalis,vetula
188,2555,33,1997,2023,26,unid. Greater Yellowlegs / Lesser Yellowlegs,unid Grand Chevalier / Petit Chevalier,Charadriiformes,Scolopacidae,Tringa,melanoleuca / flavipes
251,3255,30,2000,2023,23,unid. Black Vulture / Turkey Vulture,unid Urubu noir / Urubu à tête rouge,Cathartiformes,Cathartidae,Coragyps / Cathartes,atratus / aura
317,3890,30,1998,2023,25,Elegant Trogon,Trogon élégant,Trogoniformes,Trogonidae,Trogon,elegans
504,5490,30,1996,2023,27,Saltmarsh Sparrow,Bruant à queue aiguë,Passeriformes,Passerellidae,Ammospiza,caudacuta
291,3690,30,1997,2023,26,Spotted Owl,Chouette tachetée,Strigiformes,Strigidae,Strix,occidentalis
9,77,30,1998,2023,25,unid. loon,plongeon sp.,Gaviiformes,Gaviidae,Gavia,sp.
673,7220,29,1997,2023,26,unid. Pacific Wren / Winter Wren,unid Troglodyte des forêts / Troglodyte de Baird,Passeriformes,Troglodytidae,Troglodytes,pacificus / hiemalis
25,320,28,1999,2023,24,Razorbill,Petit Pingouin,Charadriiformes,Alcidae,Alca,torda
16,150,27,1997,2023,26,Rhinoceros Auklet,Macareux rhinocéros,Charadriiformes,Alcidae,Cerorhinca,monocerata
481,5225,27,1997,2023,26,unid. Red Crossbill / White-winged Crossbill,unid Bec-croisé des sapins / Bec-croisé bifascié,Passeriformes,Fringillidae,Loxia,curvirostra / leucoptera
133,1920,27,1999,2018,19,(Great White Heron) Great Blue Heron,Grand Héron (blanche),Pelecaniformes,Ardeidae,Ardea,herodias occidentalis
693,7353,26,1998,2022,24,unid. Black-capped Chickadee / Mountain Chickadee,unid Mésange à tête noire / Mésange de Gambel,Passeriformes,Paridae,Poecile,atricapillus / gambeli
