,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,AOU,n_rutas,first_year,last_year,timeseries length,English_Common_Name,French_Common_Name,Order,Family,Genus,Species,prct_years
213,39,39,681,681,7290,4933,1994,2023,29,Brown-headed Nuthatch,Sittelle à tête brune,Passeriformes,Sittidae,Sitta,pusilla,1.0
212,38,38,687,687,7331,1420,1997,2023,26,Juniper Titmouse,Mésange des genévriers,Passeriformes,Paridae,Baeolophus,ridgwayi,1.0
223,49,49,655,655,7010,893,1996,2023,27,American Dipper,Cincle d'Amérique,Passeriformes,Cinclidae,Cinclus,mexicanus,1.0
12,225,225,132,132,1910,413,1996,2023,27,Least Bittern,Petit Blongios,Pelecaniformes,Ardeidae,Ixobrychus,exilis,1.0
13,224,224,144,144,2030,989,1997,2023,26,Yellow-crowned Night-Heron,Bihoreau violacé,Pelecaniformes,Ardeidae,Nyctanassa,violacea,1.0
14,237,237,396,396,4570,8302,1995,2023,28,Say's Phoebe,Moucherolle à ventre roux,Passeriformes,Tyrannidae,Sayornis,saya,1.0
15,64,64,487,487,5275,243,1997,2023,26,unid. Common Redpoll / Hoary Redpoll,unid Sizerin flame / Sizerin blanchâtre,Passeriformes,Fringillidae,Carduelis,flammea / hornemanni,1.0
16,65,65,497,497,5390,688,1996,2023,27,Thick-billed Longspur,Plectrophane de McCown,Passeriformes,Calcariidae,Rhynchophanes,mccownii,1.0
17,66,66,328,328,3990,794,1996,2023,27,White-headed Woodpecker,Pic à tête blanche,Piciformes,Picidae,Dryobates,albolarvatus,1.0
18,67,67,494,494,5360,261,1997,2023,26,Lapland Longspur,Plectrophane lapon,Passeriformes,Calcariidae,Calcarius,lapponicus,1.0
19,68,68,339,339,4080,725,1997,2023,26,Lewis's Woodpecker,Pic de Lewis,Piciformes,Picidae,Melanerpes,lewis,1.0
20,69,69,200,200,2721,78,1997,2023,26,Pacific Golden-Plover,Pluvier fauve,Charadriiformes,Charadriidae,Pluvialis,fulva,1.0
21,70,70,199,199,2720,126,1997,2023,26,American Golden-Plover,Pluvier bronzé,Charadriiformes,Charadriidae,Pluvialis,dominica,1.0
22,71,71,189,189,2560,803,1995,2023,28,Solitary Sandpiper,Chevalier solitaire,Charadriiformes,Scolopacidae,Tringa,solitaria,1.0
23,72,72,202,202,2740,246,1997,2023,26,Semipalmated Plover,Pluvier semipalmé,Charadriiformes,Charadriidae,Charadrius,semipalmatus,1.0
24,73,73,206,206,2810,311,1996,2023,27,Mountain Plover,Pluvier montagnard,Charadriiformes,Charadriidae,Charadrius,montanus,1.0
25,74,74,330,330,4010,1078,1997,2023,26,American Three-toed Woodpecker,Pic à dos rayé,Piciformes,Picidae,Picoides,dorsalis,1.0
26,75,75,324,324,3950,365,1995,2023,28,Red-cockaded Woodpecker,Pic à face blanche,Piciformes,Picidae,Dryobates,borealis,1.0
27,76,76,325,325,3960,3106,1996,2023,27,Ladder-backed Woodpecker,Pic arlequin,Piciformes,Picidae,Dryobates,scalaris,1.0
28,77,77,148,148,2070,207,1997,2023,26,Limpkin,Courlan brun,Gruiformes,Aramidae,Aramus,guarauna,1.0
29,78,78,158,158,2190,1083,1996,2023,27,Common Gallinule,Gallinule d'Amérique,Gruiformes,Rallidae,Gallinula,galeata,1.0
30,79,79,502,502,5470,815,1996,2023,27,Henslow's Sparrow,Bruant de Henslow,Passeriformes,Passerellidae,Centronyx,henslowii,1.0
31,80,80,505,505,5491,596,1996,2023,27,Nelson's Sparrow,Bruant de Nelson,Passeriformes,Passerellidae,Ammospiza,nelsoni,1.0
32,81,81,506,506,5500,359,1997,2023,26,Seaside Sparrow,Bruant maritime,Passeriformes,Passerellidae,Ammospiza,maritima,1.0
33,82,82,333,333,4022,321,1996,2023,27,unid. sapsucker,unid Sphyrapicus sp.,Piciformes,Picidae,Sphyrapicus,sp.,1.0
34,83,83,334,334,4030,2552,1996,2023,27,Red-breasted Sapsucker,Pic à poitrine rouge,Piciformes,Picidae,Sphyrapicus,ruber,1.0
35,226,226,140,140,2000,3999,1996,2023,27,Little Blue Heron,Aigrette bleue,Pelecaniformes,Ardeidae,Egretta,caerulea,1.0
36,227,227,122,122,1782,365,1996,2023,27,Mute Swan,Cygne tuberculé,Anseriformes,Anatidae,Cygnus,olor,1.0
37,228,228,89,89,1410,1921,1995,2023,28,Cinnamon Teal,Sarcelle cannelle,Anseriformes,Anatidae,Spatula,cyanoptera,1.0
38,229,229,107,107,1590,144,1995,2023,28,Common Eider,Eider à duvet,Anseriformes,Anatidae,Somateria,mollissima,1.0
39,230,230,93,93,1460,2026,1994,2023,29,Redhead,Fuligule à tête rouge,Anseriformes,Anatidae,Aythya,americana,1.0
40,231,231,95,95,1480,353,1997,2023,26,Greater Scaup,Fuligule milouinan,Anseriformes,Anatidae,Aythya,marila,1.0
41,232,232,392,392,4530,983,1996,2023,27,Brown-crested Flycatcher,Tyran de Wied,Passeriformes,Tyrannidae,Myiarchus,tyrannulus,1.0
42,233,233,394,394,4550,126,1997,2023,26,Dusky-capped Flycatcher,Tyran olivâtre,Passeriformes,Tyrannidae,Myiarchus,tuberculifer,1.0
43,234,234,98,98,1500,1925,1993,2023,30,Ring-necked Duck,Fuligule à collier,Anseriformes,Anatidae,Aythya,collaris,1.0
44,235,235,123,123,1800,226,1997,2023,26,Tundra Swan,Cygne siffleur,Anseriformes,Anatidae,Cygnus,columbianus,1.0
45,236,236,347,347,4140,348,1997,2023,26,Gilded Flicker,Pic chrysoïde,Piciformes,Picidae,Colaptes,chrysoides,1.0
46,95,95,517,517,5650,605,1996,2023,27,Black-chinned Sparrow,Bruant à menton noir,Passeriformes,Passerellidae,Spizella,atrogularis,1.0
47,96,96,518,518,5660,268,1997,2023,26,(White-winged Junco) Dark-eyed Junco,Junco ardoisé (à ailes blanches),Passeriformes,Passerellidae,Junco,hyemalis aikeni,1.0
48,97,97,276,276,3480,2311,1996,2023,27,Ferruginous Hawk,Buse rouilleuse,Accipitriformes,Accipitridae,Buteo,regalis,1.0
49,98,98,281,281,3560,482,1997,2023,26,Peregrine Falcon,Faucon pèlerin,Falconiformes,Falconidae,Falco,peregrinus,1.0
50,99,99,602,602,6440,1446,1997,2023,26,Virginia's Warbler,Paruline de Virginia,Passeriformes,Parulidae,Leiothlypis,virginiae,1.0
51,100,100,596,596,6390,4325,1995,2023,28,Worm-eating Warbler,Paruline vermivore,Passeriformes,Parulidae,Helmitheros,vermivorum,1.0
52,101,101,627,627,6685,66,1997,2023,26,unid. Townsend's Warbler / Hermit Warbler,unid Paruline de Townsend / Paruline à tête jaune,Passeriformes,Parulidae,Setophaga,townsendi / occidentalis,1.0
53,102,102,616,616,6580,1670,1996,2023,27,Cerulean Warbler,Paruline azurée,Passeriformes,Parulidae,Setophaga,cerulea,1.0
54,103,103,609,609,6510,135,1997,2023,26,Olive Warbler,Fauvine des pins,Passeriformes,Peucedramidae,Peucedramus,taeniatus,1.0
55,104,104,608,608,6500,1467,1996,2023,27,Cape May Warbler,Paruline tigrée,Passeriformes,Parulidae,Setophaga,tigrina,1.0
56,105,105,650,650,6900,190,1997,2023,26,Red-faced Warbler,Paruline à face rouge,Passeriformes,Parulidae,Cardellina,rubrifrons,1.0
57,106,106,651,651,6960,140,1997,2023,26,Eastern Yellow Wagtail,Bergeronnette de Béringie,Passeriformes,Motacillidae,Motacilla,tschutschensis,1.0
58,107,107,629,629,6690,1814,1995,2023,28,Hermit Warbler,Paruline à tête jaune,Passeriformes,Parulidae,Setophaga,occidentalis,1.0
59,108,108,630,630,6700,45,2000,2023,23,Kirtland's Warbler,Paruline de Kirtland,Passeriformes,Parulidae,Setophaga,kirtlandii,1.0
60,109,109,621,621,6630,6209,1995,2023,28,Yellow-throated Warbler,Paruline à gorge jaune,Passeriformes,Parulidae,Setophaga,dominica,1.0
61,110,110,180,180,2460,69,1997,2023,26,Semipalmated Sandpiper,Bécasseau semipalmé,Charadriiformes,Scolopacidae,Calidris,pusilla,1.0
62,111,111,572,572,6180,552,1997,2023,26,Bohemian Waxwing,Jaseur boréal,Passeriformes,Bombycillidae,Bombycilla,garrulus,1.0
63,112,112,585,585,6292,2664,1997,2023,26,Plumbeous Vireo,Viréo plombé,Passeriformes,Vireonidae,Vireo,plumbeus,1.0
238,238,238,269,269,3420,8172,1990,2023,33,Swainson's Hawk,Buse de Swainson,Accipitriformes,Accipitridae,Buteo,swainsoni,0.9696969696969696
240,239,239,571,571,6170,18960,1991,2023,32,Northern Rough-winged Swallow,Hirondelle à ailes hérissées,Passeriformes,Hirundinidae,Stelgidopteryx,serripennis,0.96875
239,240,240,725,725,7680,7772,1991,2023,32,Mountain Bluebird,Merlebleu azuré,Passeriformes,Turdidae,Sialia,currucoides,0.96875
241,241,241,407,407,4660,12669,1991,2023,32,Willow Flycatcher,Moucherolle des saules,Passeriformes,Tyrannidae,Empidonax,traillii,0.96875
247,245,245,224,224,3000,3717,1993,2023,30,Ruffed Grouse,Gélinotte huppée,Galliformes,Phasianidae,Bonasa,umbellus,0.9666666666666668
244,246,246,677,677,7250,3957,1993,2023,30,Marsh Wren,Troglodyte des marais,Passeriformes,Troglodytidae,Cistothorus,palustris,0.9666666666666668
246,242,242,113,113,1670,2259,1993,2023,30,Ruddy Duck,Érismature rousse,Anseriformes,Anatidae,Oxyura,jamaicensis,0.9666666666666668
243,244,244,97,97,1490,2713,1993,2023,30,Lesser Scaup,Petit Fuligule,Anseriformes,Anatidae,Aythya,affinis,0.9666666666666668
242,247,247,3,3,20,1160,1993,2023,30,Red-necked Grebe,Grèbe jougris,Podicipediformes,Podicipedidae,Podiceps,grisegena,0.9666666666666668
245,243,243,580,580,6260,1697,1993,2023,30,Philadelphia Vireo,Viréo de Philadelphie,Passeriformes,Vireonidae,Vireo,philadelphicus,0.9666666666666668
248,248,248,669,669,7170,1721,1994,2023,29,Canyon Wren,Troglodyte des canyons,Passeriformes,Troglodytidae,Catherpes,mexicanus,0.9655172413793104
249,249,249,645,645,6860,3127,1994,2023,29,Canada Warbler,Paruline du Canada,Passeriformes,Parulidae,Cardellina,canadensis,0.9655172413793104
252,254,254,165,165,2280,471,1995,2023,28,American Woodcock,Bécasse d'Amérique,Charadriiformes,Scolopacidae,Scolopax,minor,0.9642857142857144
251,251,251,176,176,2420,229,1995,2023,28,Least Sandpiper,Bécasseau minuscule,Charadriiformes,Scolopacidae,Calidris,minutilla,0.9642857142857144
254,250,250,96,96,1489,131,1995,2023,28,unid. Greater Scaup / Lesser Scaup,unid Fuligule milouinan / Petit Fuligule,Anseriformes,Anatidae,Aythya,marila / affinis,0.9642857142857144
253,253,253,1,1,11,266,1995,2023,28,Clark's Grebe,Grèbe à face blanche,Podicipediformes,Podicipedidae,Aechmophorus,clarkii,0.9642857142857144
250,252,252,213,213,2882,984,1995,2023,28,Chukar,Perdrix choukar,Galliformes,Phasianidae,Alectoris,chukar,0.9642857142857144
255,255,255,294,294,3720,101,1996,2023,27,Northern Saw-whet Owl,Petite Nyctale,Strigiformes,Strigidae,Aegolius,acadicus,0.9629629629629628
256,256,256,288,288,3660,64,1997,2023,26,Long-eared Owl,Hibou moyen-duc,Strigiformes,Strigidae,Asio,otus,0.9615384615384616
267,265,265,377,377,4410,59,1997,2023,26,Broad-billed Hummingbird,Colibri circé,Apodiformes,Trochilidae,Cynanthus,latirostris,0.9615384615384616
257,267,267,265,265,3380,80,1997,2023,26,(Harlan's Hawk) Red-tailed Hawk,Buse à queue rousse (groupe harlani),Accipitriformes,Accipitridae,Buteo,jamaicensis harlani,0.9615384615384616
258,257,257,27,27,370,68,1997,2023,26,Parasitic Jaeger,Labbe parasite,Charadriiformes,Stercorariidae,Stercorarius,parasiticus,0.9615384615384616
263,261,261,495,495,5370,52,1997,2023,26,Smith's Longspur,Plectrophane de Smith,Passeriformes,Calcariidae,Calcarius,pictus,0.9615384615384616
259,258,258,112,112,1660,78,1997,2023,26,Surf Scoter,Macreuse à front blanc,Anseriformes,Anatidae,Melanitta,perspicillata,0.9615384615384616
262,262,262,56,56,730,66,1997,2023,26,Aleutian Tern,Sterne des Aléoutiennes,Charadriiformes,Laridae,Onychoprion,aleuticus,0.9615384615384616
261,259,259,155,155,2150,162,1997,2023,26,Yellow Rail,Râle jaune,Gruiformes,Rallidae,Coturnicops,noveboracensis,0.9615384615384616
260,263,263,167,167,2310,70,1997,2023,26,Short-billed Dowitcher,Bécassin roux,Charadriiformes,Scolopacidae,Limnodromus,griseus,0.9615384615384616
264,260,260,128,128,1861,162,1997,2023,26,unid. Glossy Ibis / White-faced Ibis,unid Ibis falcinelle / Ibis à face blanche,Pelecaniformes,Threskiornithidae,Plegadis,falcinellus / chihi,0.9615384615384616
266,266,266,307,307,3824,50,1997,2023,26,Monk Parakeet,Conure veuve,Psittaciformes,Psittacidae,Myiopsitta,monachus,0.9615384615384616
265,264,264,327,327,3975,53,1997,2023,26,Arizona Woodpecker,Pic d'Arizona,Piciformes,Picidae,Dryobates,arizonae,0.9615384615384616
268,268,268,109,109,1630,74,1997,2023,26,Black Scoter,Macreuse à bec jaune,Anseriformes,Anatidae,Melanitta,americana,0.9615384615384616
270,272,272,522,522,5680,96,1998,2023,25,(Pink-sided Junco) Dark-eyed Junco,Junco ardoisé (groupe mearnsi),Passeriformes,Passerellidae,Junco,hyemalis mearnsi,0.96
272,269,269,381,381,4447,72,1998,2023,25,unid. Cassin's Kingbird / Western Kingbird,unid Tyran de Cassin / Tyran de l'Ouest,Passeriformes,Tyrannidae,Tyrannus,vociferans / verticalis,0.96
271,271,271,240,240,3140,56,1998,2023,25,White-crowned Pigeon,Pigeon à couronne blanche,Columbiformes,Columbidae,Patagioenas,leucocephala,0.96
269,270,270,566,566,6122,181,1998,2023,25,unid. Cave Swallow / Cliff Swallow,unid Hirondelle à front blanc / à front brun,Passeriformes,Hirundinidae,Petrochelidon,pyrrhonota / fulva,0.96
273,273,273,100,100,1512,51,1999,2023,24,unid. Common Goldeneye / Barrow's Goldeneye,unid Garrot à oeil d'or / Garrot d'Islande,Anseriformes,Anatidae,Bucephala,clangula / islandica,0.9583333333333334
274,274,274,437,437,4882,25,1998,2021,23,,,,,,,0.9565217391304348
275,275,275,313,313,3860,34,1997,2018,21,Mangrove Cuckoo,Coulicou manioc,Cuculiformes,Cuculidae,Coccyzus,minor,0.9523809523809524
288,287,287,697,697,7380,6948,1991,2023,32,Mountain Chickadee,Mésange de Gambel,Passeriformes,Paridae,Poecile,gambeli,0.9375
279,277,277,478,478,5210,5276,1991,2023,32,Red Crossbill,Bec-croisé des sapins,Passeriformes,Fringillidae,Loxia,curvirostra,0.9375
278,278,278,656,656,7020,4490,1991,2023,32,Sage Thrasher,Moqueur des armoises,Passeriformes,Mimidae,Oreoscoptes,montanus,0.9375
277,279,279,626,626,6680,3577,1991,2023,32,Townsend's Warbler,Paruline de Townsend,Passeriformes,Parulidae,Setophaga,townsendi,0.9375
276,288,288,676,676,7240,4142,1991,2023,32,Sedge Wren,Troglodyte à bec court,Passeriformes,Troglodytidae,Cistothorus,stellaris,0.9375
283,281,281,526,526,5738,2331,1991,2023,32,Sagebrush Sparrow,Bruant des armoises,Passeriformes,Passerellidae,Artemisiospiza,nevadensis,0.9375
282,282,282,515,515,5620,7343,1991,2023,32,Brewer's Sparrow,Bruant de Brewer,Passeriformes,Passerellidae,Spizella,breweri,0.9375
281,283,283,412,412,4680,5771,1991,2023,32,Hammond's Flycatcher,Moucherolle de Hammond,Passeriformes,Tyrannidae,Empidonax,hammondii,0.9375
280,276,276,711,711,7540,4216,1991,2023,32,Townsend's Solitaire,Solitaire de Townsend,Passeriformes,Turdidae,Myadestes,townsendi,0.9375
284,280,280,414,414,4690,6428,1991,2023,32,Dusky Flycatcher,Moucherolle sombre,Passeriformes,Tyrannidae,Empidonax,oberholseri,0.9375
285,284,284,332,332,4021,3556,1991,2023,32,Red-naped Sapsucker,Pic à nuque rouge,Piciformes,Picidae,Sphyrapicus,nuchalis,0.9375
286,285,285,278,278,3520,5660,1991,2023,32,Bald Eagle,Pygargue à tête blanche,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,0.9375
287,286,286,39,39,540,5989,1991,2023,32,Ring-billed Gull,Goéland à bec cerclé,Charadriiformes,Laridae,Larus,delawarensis,0.9375
289,289,289,280,280,3550,1570,1992,2023,31,Prairie Falcon,Faucon des prairies,Falconiformes,Falconidae,Falco,mexicanus,0.935483870967742
294,290,290,102,102,1530,1362,1993,2023,30,Bufflehead,Petit Garrot,Anseriformes,Anatidae,Bucephala,albeola,0.9333333333333332
293,292,292,282,282,3570,1694,1993,2023,30,Merlin,Faucon émerillon,Falconiformes,Falconidae,Falco,columbarius,0.9333333333333332
291,293,293,94,94,1470,1151,1993,2023,30,Canvasback,Fuligule à dos blanc,Anseriformes,Anatidae,Aythya,valisineria,0.9333333333333332
292,291,291,110,110,1650,123,1993,2023,30,White-winged Scoter,Macreuse à ailes blanches,Anseriformes,Anatidae,Melanitta,deglandi,0.9333333333333332
290,294,294,4,4,30,623,1993,2023,30,Horned Grebe,Grèbe esclavon,Podicipediformes,Podicipedidae,Podiceps,auritus,0.9333333333333332
295,295,295,211,211,2870,91,1994,2023,29,Black Oystercatcher,Huîtrier de Bachman,Charadriiformes,Haematopodidae,Haematopus,bachmani,0.9310344827586208
299,296,296,219,219,2960,92,1997,2023,26,Montezuma Quail,Colin arlequin,Galliformes,Odontophoridae,Cyrtonyx,montezumae,0.9230769230769232
297,297,297,69,69,1207,36,1997,2023,26,unid. west coast cormorant,unid Cormoran de la côte ouest,Suliformes,Phalacrocoracidae,Urile,sp.,0.9230769230769232
298,298,298,624,624,6660,60,1997,2023,26,Golden-cheeked Warbler,Paruline à dos noir,Passeriformes,Parulidae,Setophaga,chrysoparia,0.9230769230769232
296,299,299,576,576,6210,55,1997,2023,26,Northern Shrike,Pie-grièche boréale,Passeriformes,Laniidae,Lanius,borealis,0.9230769230769232
301,300,300,315,315,3875,65,1999,2023,24,unid. Yellow-billed Cuckoo / Black-billed Cuckoo,unid Coulicou à bec jaune / Coulicou à bec noir,Cuculiformes,Cuculidae,Coccyzus,americanus / erythropthalmus,0.9166666666666666
300,301,301,229,229,3070,63,1997,2021,24,Lesser Prairie-Chicken,Tétras pâle,Galliformes,Phasianidae,Tympanuchus,pallidicinctus,0.9166666666666666
302,302,302,75,75,1280,53,1997,2021,24,Magnificent Frigatebird,Frégate superbe,Suliformes,Fregatidae,Fregata,magnificens,0.9166666666666666
303,303,303,37,37,530,1850,1990,2023,33,California Gull,Goéland de Californie,Charadriiformes,Laridae,Larus,californicus,0.9090909090909092
304,304,304,76,76,1290,3307,1990,2023,33,Common Merganser,Grand Harle,Anseriformes,Anatidae,Mergus,merganser,0.9090909090909092
305,305,305,159,159,2210,5058,1991,2023,32,American Coot,Foulque d'Amérique,Gruiformes,Rallidae,Fulica,americana,0.90625
309,308,308,259,259,3320,1726,1991,2023,32,Sharp-shinned Hawk,Épervier brun,Accipitriformes,Accipitridae,Accipiter,striatus,0.90625
306,309,309,372,372,4360,1071,1991,2023,32,Calliope Hummingbird,Colibri calliope,Apodiformes,Trochilidae,Selasphorus,calliope,0.90625
307,306,306,277,277,3490,2815,1991,2023,32,Golden Eagle,Aigle royal,Accipitriformes,Accipitridae,Aquila,chrysaetos,0.90625
308,307,307,558,558,6050,3825,1991,2023,32,Lark Bunting,Bruant noir et blanc,Passeriformes,Passerellidae,Calamospiza,melanocorys,0.90625
311,310,310,473,473,5150,1571,1991,2023,32,Pine Grosbeak,Durbec des sapins,Passeriformes,Fringillidae,Pinicola,enucleator,0.90625
310,311,311,147,147,2060,7519,1991,2023,32,Sandhill Crane,Grue du Canada,Gruiformes,Gruidae,Antigone,canadensis,0.90625
312,312,312,232,232,3090,521,1991,2023,32,Greater Sage-Grouse,Tétras des armoises,Galliformes,Phasianidae,Centrocercus,urophasianus,0.90625
313,313,313,133,133,1920,27,1999,2018,19,(Great White Heron) Great Blue Heron,Grand Héron (blanche),Pelecaniformes,Ardeidae,Ardea,herodias occidentalis,0.8947368421052632
314,314,314,20,20,270,53,1995,2023,28,Black Guillemot,Guillemot à miroir,Charadriiformes,Alcidae,Cepphus,grylle,0.8928571428571429
319,321,321,524,524,5700,56,1997,2023,26,Yellow-eyed Junco,Junco aux yeux jaunes,Passeriformes,Passerellidae,Junco,phaeonotus,0.8846153846153846
322,315,315,236,236,3110,33,1997,2023,26,Plain Chachalaca,Ortalide chacamel,Galliformes,Cracidae,Ortalis,vetula,0.8846153846153846
318,323,323,692,692,7352,70,1997,2023,26,unid. Carolina Chickadee / Black-capped Chickadee,unid Mésange de Caroline / Mésange à tête noire,Passeriformes,Paridae,Poecile,carolinensis / atricapillus,0.8846153846153846
323,320,320,204,204,2780,70,1997,2023,26,Snowy Plover,Pluvier neigeux,Charadriiformes,Charadriidae,Charadrius,nivosus,0.8846153846153846
321,316,316,205,205,2800,49,1997,2023,26,Wilson's Plover,Pluvier de Wilson,Charadriiformes,Charadriidae,Charadrius,wilsonia,0.8846153846153846
317,318,318,399,399,4600,46,1997,2023,26,Greater Pewee,Moucherolle de Coues,Passeriformes,Tyrannidae,Contopus,pertinax,0.8846153846153846
316,322,322,181,181,2470,78,1997,2023,26,Western Sandpiper,Bécasseau d'Alaska,Charadriiformes,Scolopacidae,Calidris,mauri,0.8846153846153846
315,319,319,479,479,5212,23,1997,2023,26,unid. Cassia Crossbill / Red Crossbill,Unid Bec-croisé de l'Idaho / des sapins,Passeriformes,Fringillidae,Loxia,sinesciuris / curvirostra,0.8846153846153846
320,317,317,390,390,4510,39,1997,2023,26,Sulphur-bellied Flycatcher,Tyran tigré,Passeriformes,Tyrannidae,Myiodynastes,luteiventris,0.8846153846153846
325,324,324,532,532,5790,81,1998,2023,25,Rufous-winged Sparrow,Bruant à épaulettes,Passeriformes,Passerellidae,Peucaea,carpalis,0.88
324,325,325,191,191,2590,53,1998,2023,25,Wandering Tattler,Chevalier errant,Charadriiformes,Scolopacidae,Tringa,incana,0.88
327,326,326,162,162,2240,2365,1990,2023,33,Wilson's Phalarope,Phalarope de Wilson,Charadriiformes,Scolopacidae,Phalaropus,tricolor,0.8787878787878788
326,327,327,163,163,2250,1984,1990,2023,33,American Avocet,Avocette d'Amérique,Charadriiformes,Recurvirostridae,Recurvirostra,americana,0.8787878787878788
333,329,329,24,24,315,8,2007,2015,8,unid. Common Murre / Thick-billed Murre,unid Guillemot marmette / Guillemot de Brünnich,Charadriiformes,Laridae,Uria,aalge / lomvia,0.875
328,333,333,357,357,4220,228,1991,2023,32,Black Swift,Martinet sombre,Apodiformes,Apodidae,Cypseloides,niger,0.875
332,331,331,25,25,320,28,1999,2023,24,Razorbill,Petit Pingouin,Charadriiformes,Alcidae,Alca,torda,0.875
330,332,332,72,72,1230,117,1991,2023,32,Pelagic Cormorant,Cormoran pélagique,Suliformes,Phalacrocoracidae,Urile,pelagicus,0.875
331,330,330,0,0,10,1007,1991,2023,32,Western Grebe,Grèbe élégant,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis,0.875
329,328,328,367,367,4310,1853,1991,2023,32,Anna's Hummingbird,Colibri d'Anna,Apodiformes,Trochilidae,Calypte,anna,0.875
334,334,334,680,680,7280,16012,1987,2023,36,Red-breasted Nuthatch,Sittelle à poitrine rousse,Passeriformes,Sittidae,Sitta,canadensis,0.8611111111111112
335,335,335,496,496,5380,1349,1990,2023,33,Chestnut-collared Longspur,Plectrophane à ventre noir,Passeriformes,Calcariidae,Calcarius,ornatus,0.8484848484848485
337,336,336,38,38,534,893,1990,2023,33,unid. gull,unid Goéland sp.,Charadriiformes,Laridae,Gull,sp.,0.8484848484848485
336,337,337,195,195,2640,3689,1990,2023,33,Long-billed Curlew,Courlis à long bec,Charadriiformes,Scolopacidae,Numenius,americanus,0.8484848484848485
340,338,338,152,152,2111,34,1997,2023,26,Ridgway's Rail,Râle de Californie,Gruiformes,Rallidae,Rallus,obsoletus,0.8461538461538461
339,339,339,486,486,5270,53,1997,2023,26,Hoary Redpoll,Sizerin blanchâtre,Passeriformes,Fringillidae,Acanthis,hornemanni,0.8461538461538461
338,340,340,383,383,4451,24,1997,2023,26,Thick-billed Kingbird,Tyran à bec épais,Passeriformes,Tyrannidae,Tyrannus,crassirostris,0.8461538461538461
341,341,341,104,104,1550,204,1991,2023,32,Harlequin Duck,Arlequin plongeur,Anseriformes,Anatidae,Histrionicus,histrionicus,0.84375
342,342,342,21,21,290,163,1991,2023,32,Pigeon Guillemot,Guillemot colombin,Charadriiformes,Alcidae,Cepphus,columba,0.84375
349,345,345,536,536,5840,8914,1987,2023,36,Swamp Sparrow,Bruant des marais,Passeriformes,Passerellidae,Melospiza,georgiana,0.8333333333333334
347,343,343,32,32,470,764,1987,2023,36,Great Black-backed Gull,Goéland marin,Charadriiformes,Laridae,Larus,marinus,0.8333333333333334
344,347,347,36,36,510,2621,1987,2023,36,Herring Gull,Goéland argenté,Charadriiformes,Laridae,Larus,argentatus,0.8333333333333334
348,346,346,66,66,1200,4919,1987,2023,36,Double-crested Cormorant,Cormoran à aigrettes,Suliformes,Phalacrocoracidae,Nannopterum,auritum,0.8333333333333334
343,349,349,222,222,2973,43,1998,2022,24,unid. Dusky Grouse / Sooty Grouse,unid Tétras sombre / Tétras fuligineux,Galliformes,Phasianidae,Dendragapus,obscurus / fuliginosus,0.8333333333333334
346,348,348,207,207,2820,5,2003,2009,6,Surfbird,Bécasseau du ressac,Charadriiformes,Scolopacidae,Calidris,virgata,0.8333333333333334
345,344,344,135,135,1945,38,2005,2023,18,unid. heron / egret,unid héron / aigrette sp.,Pelecaniformes,Ardeidae,Ardeid,sp.,0.8333333333333334
351,350,350,350,350,4172,30,1997,2023,26,Mexican Whip-poor-will,Engoulevent d'Arizona,Caprimulgiformes,Caprimulgidae,Antrostomus,arizonae,0.8076923076923077
350,351,351,156,156,2160,29,1997,2023,26,Black Rail,Râle noir,Gruiformes,Rallidae,Laterallus,jamaicensis,0.8076923076923077
352,352,352,54,54,700,632,1987,2023,36,Common Tern,Sterne pierregarin,Charadriiformes,Laridae,Sterna,hirundo,0.8055555555555556
353,353,353,619,619,6610,1942,1987,2023,36,Blackpoll Warbler,Paruline rayée,Passeriformes,Parulidae,Setophaga,striata,0.8055555555555556
354,354,354,535,535,5830,8539,1982,2023,41,Lincoln's Sparrow,Bruant de Lincoln,Passeriformes,Passerellidae,Melospiza,lincolnii,0.8048780487804879
355,355,355,733,733,51830,5,2017,2022,5,Nanday Parakeet,Conure nanday,Psittaciformes,Psittacidae,Aratinga,nenday,0.8
356,356,356,693,693,7353,26,1998,2022,24,unid. Black-capped Chickadee / Mountain Chickadee,unid Mésange à tête noire / Mésange de Gambel,Passeriformes,Paridae,Poecile,atricapillus / gambeli,0.7916666666666666
357,357,357,715,715,7571,11,1997,2011,14,Bicknell's Thrush,Grive de Bicknell,Passeriformes,Turdidae,Catharus,bicknelli,0.7857142857142857
360,358,358,722,722,7650,31,1997,2015,18,Northern Wheatear,Traquet motteux,Passeriformes,Muscicapidae,Oenanthe,oenanthe,0.7777777777777778
359,359,359,329,329,4000,679,1987,2023,36,Black-backed Woodpecker,Pic à dos noir,Piciformes,Picidae,Picoides,arcticus,0.7777777777777778
358,360,360,87,87,1390,2882,1987,2023,36,Green-winged Teal,Sarcelle d'hiver,Anseriformes,Anatidae,Anas,crecca,0.7777777777777778
361,361,361,22,22,300,38,1997,2019,22,Common Murre,Guillemot marmette,Charadriiformes,Alcidae,Uria,aalge,0.7727272727272727
363,362,362,16,16,150,27,1997,2023,26,Rhinoceros Auklet,Macareux rhinocéros,Charadriiformes,Alcidae,Cerorhinca,monocerata,0.7692307692307693
