,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,AOU,n_rutas,first_year,last_year,timeseries length,English_Common_Name,French_Common_Name,Order,Family,Genus,Species,prct_years
232,58,58,413,413,4689,231,1997,2023,26,unid. Hammond's Flycatcher / Dusky Flycatcher,unid Moucherolle Hammond's / Moucherolle Dusky,Passeriformes,Tyrannidae,Empidonax,hammondii / oberholseri,1.0
233,59,59,28,28,380,203,1997,2023,26,Long-tailed Jaeger,Labbe à longue queue,Charadriiformes,Stercorariidae,Stercorarius,longicaudus,1.0
234,60,60,40,40,550,1088,1995,2023,28,Short-billed Gull,Goéland à bec court,Charadriiformes,Laridae,Larus,brachyrhynchus,1.0
235,61,61,312,312,3850,2873,1996,2023,27,Greater Roadrunner,Grand Géocoucou,Cuculiformes,Cuculidae,Geococcyx,californianus,1.0
236,62,62,311,311,3840,112,1997,2023,26,Groove-billed Ani,Ani à bec cannelé,Cuculiformes,Cuculidae,Crotophaga,sulcirostris,1.0
95,144,144,533,533,5800,1375,1996,2023,27,Rufous-crowned Sparrow,Tohi à calotte fauve,Passeriformes,Passerellidae,Aimophila,ruficeps,1.0
96,145,145,216,216,2930,2078,1996,2023,27,Scaled Quail,Colin écaillé,Galliformes,Odontophoridae,Callipepla,squamata,1.0
97,146,146,218,218,2950,1730,1996,2023,27,Gambel's Quail,Colin de Gambel,Galliformes,Odontophoridae,Callipepla,gambelii,1.0
98,147,147,561,561,6090,565,1997,2023,26,Hepatic Tanager,Piranga orangé,Passeriformes,Cardinalidae,Piranga,flava,1.0
99,84,84,335,335,4040,1203,1996,2023,27,Williamson's Sapsucker,Pic de Williamson,Piciformes,Picidae,Sphyrapicus,thyroideus,1.0
100,85,85,337,337,4060,14051,1995,2023,28,Red-headed Woodpecker,Pic à tête rouge,Piciformes,Picidae,Melanerpes,erythrocephalus,1.0
101,86,86,521,521,5677,743,1997,2023,26,(unid. race) Dark-eyed Junco,Junco ardoisé (groupe non identifié),Passeriformes,Passerellidae,Junco,hyemalis,1.0
102,87,87,523,523,5690,2176,1997,2023,26,(Gray-headed Junco) Dark-eyed Junco,Junco ardoisé (à tête grise),Passeriformes,Passerellidae,Junco,hyemalis caniceps,1.0
103,88,88,510,510,5570,530,1995,2023,28,Golden-crowned Sparrow,Bruant à couronne dorée,Passeriformes,Passerellidae,Zonotrichia,atricapilla,1.0
104,89,89,512,512,5590,823,1997,2023,26,American Tree Sparrow,Bruant hudsonien,Passeriformes,Passerellidae,Spizelloides,arborea,1.0
105,90,90,210,210,2860,128,1997,2023,26,American Oystercatcher,Huîtrier d'Amérique,Charadriiformes,Haematopodidae,Haematopus,palliatus,1.0
106,91,91,196,196,2650,165,1997,2023,26,Whimbrel,Courlis corlieu,Charadriiformes,Scolopacidae,Numenius,phaeopus,1.0
107,92,92,161,161,2230,154,1997,2023,26,Red-necked Phalarope,Phalarope à bec étroit,Charadriiformes,Scolopacidae,Phalaropus,lobatus,1.0
108,93,93,529,529,5750,1216,1995,2023,28,Bachman's Sparrow,Bruant des pinèdes,Passeriformes,Passerellidae,Peucaea,aestivalis,1.0
109,94,94,530,530,5760,142,1997,2023,26,Botteri's Sparrow,Bruant de Botteri,Passeriformes,Passerellidae,Peucaea,botterii,1.0
110,158,158,49,49,640,815,1996,2023,27,Caspian Tern,Sterne caspienne,Charadriiformes,Laridae,Hydroprogne,caspia,1.0
111,157,157,50,50,650,359,1997,2023,26,Royal Tern,Sterne royale,Charadriiformes,Laridae,Thalasseus,maximus,1.0
112,156,156,542,542,5900,5132,1996,2023,27,Green-tailed Towhee,Tohi à queue verte,Passeriformes,Passerellidae,Pipilo,chlorurus,1.0
113,155,155,555,555,6000,181,1997,2023,26,Varied Bunting,Passerin varié,Passeriformes,Cardinalidae,Passerina,versicolor,1.0
114,154,154,548,548,5940,1608,1996,2023,27,Pyrrhuloxia,Cardinal pyrrhuloxia,Passeriformes,Cardinalidae,Cardinalis,sinuatus,1.0
115,153,153,225,225,3010,329,1997,2023,26,Willow Ptarmigan,Lagopède des saules,Galliformes,Phasianidae,Lagopus,lagopus,1.0
116,152,152,223,223,2980,162,1997,2023,26,Spruce Grouse,Tétras du Canada,Galliformes,Phasianidae,Canachites,canadensis,1.0
117,151,151,221,221,2971,816,1996,2023,27,Sooty Grouse,Tétras fuligineux,Galliformes,Phasianidae,Dendragapus,fuliginosus,1.0
118,150,150,220,220,2970,278,1997,2023,26,Dusky Grouse,Tétras sombre,Galliformes,Phasianidae,Dendragapus,obscurus,1.0
119,149,149,235,235,3100,16141,1995,2023,28,Wild Turkey,Dindon sauvage,Galliformes,Phasianidae,Meleagris,gallopavo,1.0
120,148,148,562,562,6100,14993,1994,2023,29,Summer Tanager,Piranga vermillon,Passeriformes,Cardinalidae,Piranga,rubra,1.0
121,159,159,226,226,3020,81,1997,2023,26,Rock Ptarmigan,Lagopède alpin,Galliformes,Phasianidae,Lagopus,muta,1.0
122,163,163,248,248,3210,1757,1996,2023,27,Inca Dove,Colombe inca,Columbiformes,Columbidae,Columbina,inca,1.0
123,160,160,703,703,7460,2008,1996,2023,27,Verdin,Auripare verdin,Passeriformes,Remizidae,Auriparus,flaviceps,1.0
124,161,161,48,48,634,104,1997,2023,26,unid. tern,unid Sterne sp.,Charadriiformes,Laridae,Tern,sp.,1.0
125,162,162,719,719,7621,2,2021,2023,2,Clay-colored Thrush,Merle fauve,Passeriformes,Turdidae,Turdus,grayi,1.0
126,175,175,415,415,4691,2397,1995,2023,28,Gray Flycatcher,Moucherolle gris,Passeriformes,Tyrannidae,Empidonax,wrightii,1.0
127,176,176,675,675,7222,6433,1994,2023,29,Winter Wren,Troglodyte des forêts,Passeriformes,Troglodytidae,Troglodytes,hiemalis,1.0
128,177,177,668,668,7150,7570,1994,2023,29,Rock Wren,Troglodyte des rochers,Passeriformes,Troglodytidae,Salpinctes,obsoletus,1.0
129,178,178,682,682,7300,1826,1995,2023,28,Pygmy Nuthatch,Sittelle pygmée,Passeriformes,Sittidae,Sitta,pygmaea,1.0
130,179,179,411,411,4679,694,1997,2023,26,unid. Empidonax flycatcher,unid Empidonax sp.,Passeriformes,Tyrannidae,Empidonax,sp.,1.0
131,164,164,274,274,3460,109,1997,2023,26,Gray Hawk,Buse grise,Accipitriformes,Accipitridae,Buteo,plagiatus,1.0
132,165,165,253,253,3270,1015,1997,2023,26,Swallow-tailed Kite,Naucler à queue fourchue,Accipitriformes,Accipitridae,Elanoides,forficatus,1.0
133,166,166,255,255,3280,361,1996,2023,27,White-tailed Kite,Élanion à queue blanche,Accipitriformes,Accipitridae,Elanus,leucurus,1.0
134,167,167,538,538,5860,510,1997,2023,26,Olive Sparrow,Tohi olive,Passeriformes,Passerellidae,Arremonops,rufivirgatus,1.0
