Seq,AOU,English_Common_Name,French_Common_Name,Order,Family,Genus,Species
436,77,unid. loon,plongeon sp.,Gaviiformes,Gaviidae,Gavia,sp.
443,1060,Leach's Storm-Petrel,Océanite cul-blanc,Procellariiformes,Hydrobatidae,Hydrobates,leucorhous
452,860,Northern Fulmar,Fulmar boréal,Procellariiformes,Procellariidae,Fulmarus,glacialis
466,880,Cory's Shearwater,Puffin cendré,Procellariiformes,Procellariidae,Calonectris,diomedea
476,900,Manx Shearwater,Puffin des Anglais,Procellariiformes,Procellariidae,Puffinus,puffinus
482,1880,Wood Stork,Tantale d'Amérique,Ciconiiformes,Ciconiidae,Mycteria,americana
483,1280,Magnificent Frigatebird,Frégate superbe,Suliformes,Fregatidae,Fregata,magnificens
485,1140,Masked Booby,Fou masqué,Suliformes,Sulidae,Sula,dactylatra
487,1141,Blue-footed Booby,Fou à pieds bleus,Suliformes,Sulidae,Sula,nebouxii
488,1150,Brown Booby,Fou brun,Suliformes,Sulidae,Sula,leucogaster
490,1170,Northern Gannet,Fou de Bassan,Suliformes,Sulidae,Morus,bassanus
491,1180,Anhinga,Anhinga d'Amérique,Suliformes,Anhingidae,Anhinga,anhinga
492,1220,Brandt's Cormorant,Cormoran de Brandt,Suliformes,Phalacrocoracidae,Urile,penicillatus
494,1230,Pelagic Cormorant,Cormoran pélagique,Suliformes,Phalacrocoracidae,Urile,pelagicus
495,1207,unid. west coast cormorant,unid Cormoran de la côte ouest,Suliformes,Phalacrocoracidae,Urile,sp.
496,1190,Great Cormorant,Grand Cormoran,Suliformes,Phalacrocoracidae,Phalacrocorax,carbo
497,1200,Double-crested Cormorant,Cormoran à aigrettes,Suliformes,Phalacrocoracidae,Nannopterum,auritum
498,1206,unid. Double-crested Cormorant / Great Cormorant,Cormoran à aigrettes / Grand Cormoran,Suliformes,Phalacrocoracidae,Nannopterum,auritus / carbo
499,1210,Neotropic Cormorant,Cormoran vigua,Suliformes,Phalacrocoracidae,Nannopterum,brasilianum
500,1205,unid. Neotropic / Double-crested Cormorant,Cormoran vigua / Cormoran à aigrettes,Suliformes,Phalacrocoracidae,Nannopterum,brasilianum / auritum
501,1250,American White Pelican,Pélican d'Amérique,Pelecaniformes,Pelecanidae,Pelecanus,erythrorhynchos
502,1260,Brown Pelican,Pélican brun,Pelecaniformes,Pelecanidae,Pelecanus,occidentalis
504,1900,American Bittern,Butor d'Amérique,Pelecaniformes,Ardeidae,Botaurus,lentiginosus
505,1910,Least Bittern,Petit Blongios,Pelecaniformes,Ardeidae,Ixobrychus,exilis
507,1940,Great Blue Heron,Grand Héron,Pelecaniformes,Ardeidae,Ardea,herodias
508,1920,(Great White Heron) Great Blue Heron,Grand Héron (blanche),Pelecaniformes,Ardeidae,Ardea,herodias occidentalis
509,1960,Great Egret,Grande Aigrette,Pelecaniformes,Ardeidae,Ardea,alba
510,1961,Little Egret,Aigrette garzette,Pelecaniformes,Ardeidae,Egretta,garzetta
511,1970,Snowy Egret,Aigrette neigeuse,Pelecaniformes,Ardeidae,Egretta,thula
512,2000,Little Blue Heron,Aigrette bleue,Pelecaniformes,Ardeidae,Egretta,caerulea
513,1990,Tricolored Heron,Aigrette tricolore,Pelecaniformes,Ardeidae,Egretta,tricolor
514,1980,Reddish Egret,Aigrette roussâtre,Pelecaniformes,Ardeidae,Egretta,rufescens
515,2001,Cattle Egret,Héron garde-boeufs,Pelecaniformes,Ardeidae,Bubulcus,ibis
516,2010,Green Heron,Héron vert,Pelecaniformes,Ardeidae,Butorides,virescens
518,2020,Black-crowned Night-Heron,Bihoreau gris,Pelecaniformes,Ardeidae,Nycticorax,nycticorax
519,2030,Yellow-crowned Night-Heron,Bihoreau violacé,Pelecaniformes,Ardeidae,Nyctanassa,violacea
520,2035,unid Black-crowned / Yellow-crowned Night-Heron,unid Bihoreau gris / Bihoreau violacé,Pelecaniformes,Ardeidae,Nycticorax / Nyctanassa,nycticorax / violacea
522,1945,unid. heron / egret,unid héron / aigrette sp.,Pelecaniformes,Ardeidae,Ardeid,sp.
523,1840,White Ibis,Ibis blanc,Pelecaniformes,Threskiornithidae,Eudocimus,albus
524,1860,Glossy Ibis,Ibis falcinelle,Pelecaniformes,Threskiornithidae,Plegadis,falcinellus
525,1870,White-faced Ibis,Ibis à face blanche,Pelecaniformes,Threskiornithidae,Plegadis,chihi
526,1861,unid. Glossy Ibis / White-faced Ibis,unid Ibis falcinelle / Ibis à face blanche,Pelecaniformes,Threskiornithidae,Plegadis,falcinellus / chihi
527,1830,Roseate Spoonbill,Spatule rosée,Pelecaniformes,Threskiornithidae,Platalea,ajaja
528,3240,California Condor,Condor de Californie,Cathartiformes,Cathartidae,Gymnogyps,californianus
530,3260,Black Vulture,Urubu noir,Cathartiformes,Cathartidae,Coragyps,atratus
531,3250,Turkey Vulture,Urubu à tête rouge,Cathartiformes,Cathartidae,Cathartes,aura
532,3255,unid. Black Vulture / Turkey Vulture,unid Urubu noir / Urubu à tête rouge,Cathartiformes,Cathartidae,Coragyps / Cathartes,atratus / aura
534,3640,Osprey,Balbuzard pêcheur,Accipitriformes,Pandionidae,Pandion,haliaetus
535,3280,White-tailed Kite,Élanion à queue blanche,Accipitriformes,Accipitridae,Elanus,leucurus
536,3271,Hook-billed Kite,Bec-en-croc de Temminck,Accipitriformes,Accipitridae,Chondrohierax,uncinatus
538,3270,Swallow-tailed Kite,Naucler à queue fourchue,Accipitriformes,Accipitridae,Elanoides,forficatus
541,3490,Golden Eagle,Aigle royal,Accipitriformes,Accipitridae,Aquila,chrysaetos
546,3310,Northern Harrier,Busard des marais,Accipitriformes,Accipitridae,Circus,hudsonius
547,3320,Sharp-shinned Hawk,Épervier brun,Accipitriformes,Accipitridae,Accipiter,striatus
548,3330,Cooper's Hawk,Épervier de Cooper,Accipitriformes,Accipitridae,Accipiter,cooperii
550,3340,American Goshawk,Autour d’Amérique,Accipitriformes,Accipitridae,Accipiter,atricapillus
551,3333,unid. Accipiter hawk,unid épervier sp.,Accipitriformes,Accipitridae,Accipiter,sp.
552,3520,Bald Eagle,Pygargue à tête blanche,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus
554,3290,Mississippi Kite,Milan du Mississippi,Accipitriformes,Accipitridae,Ictinia,mississippiensis
558,3300,Snail Kite,Milan des marais,Accipitriformes,Accipitridae,Rostrhamus,sociabilis
559,3450,Common Black Hawk,Buse noire,Accipitriformes,Accipitridae,Buteogallus,anthracinus
563,3350,Harris's Hawk,Buse de Harris,Accipitriformes,Accipitridae,Parabuteo,unicinctus
564,3410,White-tailed Hawk,Buse à queue blanche,Accipitriformes,Accipitridae,Geranoaetus,albicaudatus
566,3460,Gray Hawk,Buse grise,Accipitriformes,Accipitridae,Buteo,plagiatus
567,3390,Red-shouldered Hawk,Buse à épaulettes,Accipitriformes,Accipitridae,Buteo,lineatus
568,3430,Broad-winged Hawk,Petite Buse,Accipitriformes,Accipitridae,Buteo,platypterus
569,3440,Short-tailed Hawk,Buse à queue courte,Accipitriformes,Accipitridae,Buteo,brachyurus
570,3420,Swainson's Hawk,Buse de Swainson,Accipitriformes,Accipitridae,Buteo,swainsoni
571,3400,Zone-tailed Hawk,Buse à queue barrée,Accipitriformes,Accipitridae,Buteo,albonotatus
572,3370,Red-tailed Hawk,Buse à queue rousse,Accipitriformes,Accipitridae,Buteo,jamaicensis
573,3380,(Harlan's Hawk) Red-tailed Hawk,Buse à queue rousse (groupe harlani),Accipitriformes,Accipitridae,Buteo,jamaicensis harlani
574,3470,Rough-legged Hawk,Buse pattue,Accipitriformes,Accipitridae,Buteo,lagopus
575,3480,Ferruginous Hawk,Buse rouilleuse,Accipitriformes,Accipitridae,Buteo,regalis
576,3451,unid. Buteo hawk,unid Buse sp.,Accipitriformes,Accipitridae,Buteo,sp.
577,3650,Barn Owl,Effraie des clochers,Strigiformes,Tytonidae,Tyto,alba
578,3740,Flammulated Owl,Petit-duc nain,Strigiformes,Strigidae,Psiloscops,flammeolus
579,3731,Whiskered Screech-Owl,Petit-duc à moustaches,Strigiformes,Strigidae,Megascops,trichopsis
582,3732,Western Screech-Owl,Petit-duc des montagnes,Strigiformes,Strigidae,Megascops,kennicottii
583,3730,Eastern Screech-Owl,Petit-duc maculé,Strigiformes,Strigidae,Megascops,asio
588,3750,Great Horned Owl,Grand-duc d'Amérique,Strigiformes,Strigidae,Bubo,virginianus
589,3760,Snowy Owl,Harfang des neiges,Strigiformes,Strigidae,Bubo,scandiacus
590,3770,Northern Hawk Owl,Chouette épervière,Strigiformes,Strigidae,Surnia,ulula
591,3790,Northern Pygmy-Owl,Chevêchette naine,Strigiformes,Strigidae,Glaucidium,gnoma
595,3800,Ferruginous Pygmy-Owl,Chevêchette brune,Strigiformes,Strigidae,Glaucidium,brasilianum
596,3810,Elf Owl,Chevêchette des saguaros,Strigiformes,Strigidae,Micrathene,whitneyi
597,3780,Burrowing Owl,Chevêche des terriers,Strigiformes,Strigidae,Athene,cunicularia
598,3690,Spotted Owl,Chouette tachetée,Strigiformes,Strigidae,Strix,occidentalis
599,3680,Barred Owl,Chouette rayée,Strigiformes,Strigidae,Strix,varia
604,3700,Great Gray Owl,Chouette lapone,Strigiformes,Strigidae,Strix,nebulosa
605,3660,Long-eared Owl,Hibou moyen-duc,Strigiformes,Strigidae,Asio,otus
607,3670,Short-eared Owl,Hibou des marais,Strigiformes,Strigidae,Asio,flammeus
609,3710,Boreal Owl,Nyctale de Tengmalm,Strigiformes,Strigidae,Aegolius,funereus
610,3720,Northern Saw-whet Owl,Petite Nyctale,Strigiformes,Strigidae,Aegolius,acadicus
616,3890,Elegant Trogon,Trogon élégant,Trogoniformes,Trogonidae,Trogon,elegans
628,3901,Ringed Kingfisher,Martin-pêcheur à ventre roux,Coraciiformes,Alcedinidae,Megaceryle,torquata
629,3900,Belted Kingfisher,Martin-pêcheur d'Amérique,Coraciiformes,Alcedinidae,Megaceryle,alcyon
632,3910,Green Kingfisher,Martin-pêcheur vert,Coraciiformes,Alcedinidae,Chloroceryle,americana
639,4080,Lewis's Woodpecker,Pic de Lewis,Piciformes,Picidae,Melanerpes,lewis
640,4060,Red-headed Woodpecker,Pic à tête rouge,Piciformes,Picidae,Melanerpes,erythrocephalus
641,4070,Acorn Woodpecker,Pic glandivore,Piciformes,Picidae,Melanerpes,formicivorus
646,4110,Gila Woodpecker,Pic des saguaros,Piciformes,Picidae,Melanerpes,uropygialis
647,4100,Golden-fronted Woodpecker,Pic à front doré,Piciformes,Picidae,Melanerpes,aurifrons
648,4090,Red-bellied Woodpecker,Pic à ventre roux,Piciformes,Picidae,Melanerpes,carolinus
649,4040,Williamson's Sapsucker,Pic de Williamson,Piciformes,Picidae,Sphyrapicus,thyroideus
650,4020,Yellow-bellied Sapsucker,Pic maculé,Piciformes,Picidae,Sphyrapicus,varius
651,4021,Red-naped Sapsucker,Pic à nuque rouge,Piciformes,Picidae,Sphyrapicus,nuchalis
652,4030,Red-breasted Sapsucker,Pic à poitrine rouge,Piciformes,Picidae,Sphyrapicus,ruber
653,4022,unid. sapsucker,unid Sphyrapicus sp.,Piciformes,Picidae,Sphyrapicus,sp.
654,4010,American Three-toed Woodpecker,Pic à dos rayé,Piciformes,Picidae,Picoides,dorsalis
655,4000,Black-backed Woodpecker,Pic à dos noir,Piciformes,Picidae,Picoides,arcticus
656,3940,Downy Woodpecker,Pic mineur,Piciformes,Picidae,Dryobates,pubescens
657,3970,Nuttall's Woodpecker,Pic de Nuttall,Piciformes,Picidae,Dryobates,nuttallii
658,3960,Ladder-backed Woodpecker,Pic arlequin,Piciformes,Picidae,Dryobates,scalaris
659,3950,Red-cockaded Woodpecker,Pic à face blanche,Piciformes,Picidae,Dryobates,borealis
660,3930,Hairy Woodpecker,Pic chevelu,Piciformes,Picidae,Dryobates,villosus
661,3990,White-headed Woodpecker,Pic à tête blanche,Piciformes,Picidae,Dryobates,albolarvatus
663,3975,Arizona Woodpecker,Pic d'Arizona,Piciformes,Picidae,Dryobates,arizonae
667,4123,(unid. Red / Yellow Shafted) Northern Flicker,Pic flamboyant (groupe non identifié),Piciformes,Picidae,Colaptes,auratus
668,4120,(Yellow-shafted Flicker) Northern Flicker,Pic flamboyant (groupe auratus),Piciformes,Picidae,Colaptes,auratus auratus
669,4130,(Red-shafted Flicker) Northern Flicker,Pic flamboyant (groupe cafer),Piciformes,Picidae,Colaptes,auratus cafer
670,4125,hybrid Northern Flicker (Red x Yellow-shafted),hybride Pic flamboyant (cafer x auratus),Piciformes,Picidae,Colaptes,auratus auratus x auratus cafer
671,4140,Gilded Flicker,Pic chrysoïde,Piciformes,Picidae,Colaptes,chrysoides
674,4050,Pileated Woodpecker,Grand Pic,Piciformes,Picidae,Dryocopus,pileatus
676,3920,unid. woodpecker,unid Pic sp.,Piciformes,Picidae,Woodpecker,sp.
681,3620,Crested Caracara,Caracara huppé,Falconiformes,Falconidae,Caracara,plancus
682,3600,American Kestrel,Crécerelle d'Amérique,Falconiformes,Falconidae,Falco,sparverius
683,3570,Merlin,Faucon émerillon,Falconiformes,Falconidae,Falco,columbarius
684,3590,Aplomado Falcon,Faucon aplomado,Falconiformes,Falconidae,Falco,femoralis
687,3540,Gyrfalcon,Faucon gerfaut,Falconiformes,Falconidae,Falco,rusticolus
688,3560,Peregrine Falcon,Faucon pèlerin,Falconiformes,Falconidae,Falco,peregrinus
689,3550,Prairie Falcon,Faucon des prairies,Falconiformes,Falconidae,Falco,mexicanus
690,3824,Monk Parakeet,Conure veuve,Psittaciformes,Psittacidae,Myiopsitta,monachus
693,51830,Nanday Parakeet,Conure nanday,Psittaciformes,Psittacidae,Aratinga,nenday
705,52021,Yellow-chevroned Parakeet,Toui à ailes jaunes,Psittaciformes,Psittacidae,Brotogeris,chiriri
706,3827,unid. White-winged / Yellow-chevroned Parakeet,Toui à ailes variées / Toui à ailes jaunes,Psittaciformes,Psittacidae,Brotogeris,versicolurus / chiriri
711,3826,Red-crowned Parrot,Amazone à joues vertes,Psittaciformes,Psittacidae,Amazona,viridigenalis
717,3823,Rose-ringed Parakeet,Perruche à collier,Psittaciformes,Psittaculidae,Psittacula,krameri
719,3822,Budgerigar,Perruche ondulée,Psittaciformes,Psittaculidae,Melopsittacus,undulatus
732,4411,Rose-throated Becard,Bécarde à gorge rose,Passeriformes,Tityridae,Pachyramphus,aglaiae
745,4720,Northern Beardless-Tyrannulet,Tyranneau imberbe,Passeriformes,Tyrannidae,Camptostoma,imberbe
754,4550,Dusky-capped Flycatcher,Tyran olivâtre,Passeriformes,Tyrannidae,Myiarchus,tuberculifer
755,4540,Ash-throated Flycatcher,Tyran à gorge cendrée,Passeriformes,Tyrannidae,Myiarchus,cinerascens
757,4520,Great Crested Flycatcher,Tyran huppé,Passeriformes,Tyrannidae,Myiarchus,crinitus
758,4530,Brown-crested Flycatcher,Tyran de Wied,Passeriformes,Tyrannidae,Myiarchus,tyrannulus
761,4490,Great Kiskadee,Tyran quiquivi,Passeriformes,Tyrannidae,Pitangus,sulphuratus
765,4510,Sulphur-bellied Flycatcher,Tyran tigré,Passeriformes,Tyrannidae,Myiodynastes,luteiventris
767,4460,Tropical Kingbird,Tyran mélancolique,Passeriformes,Tyrannidae,Tyrannus,melancholicus
768,4461,Couch's Kingbird,Tyran de Couch,Passeriformes,Tyrannidae,Tyrannus,couchii
769,4462,unid. Tropical Kingbird / Couch's Kingbird,unid Tyran mélancolique / Tyran de Couch,Passeriformes,Tyrannidae,Tyrannus,melancholicus / couchii
770,4480,Cassin's Kingbird,Tyran de Cassin,Passeriformes,Tyrannidae,Tyrannus,vociferans
771,4451,Thick-billed Kingbird,Tyran à bec épais,Passeriformes,Tyrannidae,Tyrannus,crassirostris
772,4470,Western Kingbird,Tyran de l'Ouest,Passeriformes,Tyrannidae,Tyrannus,verticalis
773,4447,unid. Cassin's Kingbird / Western Kingbird,unid Tyran de Cassin / Tyran de l'Ouest,Passeriformes,Tyrannidae,Tyrannus,vociferans / verticalis
774,4440,Eastern Kingbird,Tyran tritri,Passeriformes,Tyrannidae,Tyrannus,tyrannus
775,4450,Gray Kingbird,Tyran gris,Passeriformes,Tyrannidae,Tyrannus,dominicensis
777,4430,Scissor-tailed Flycatcher,Tyran à longue queue,Passeriformes,Tyrannidae,Tyrannus,forficatus
778,4420,Fork-tailed Flycatcher,Tyran des savanes,Passeriformes,Tyrannidae,Tyrannus,savana
782,4590,Olive-sided Flycatcher,Moucherolle à côtés olive,Passeriformes,Tyrannidae,Contopus,cooperi
783,4600,Greater Pewee,Moucherolle de Coues,Passeriformes,Tyrannidae,Contopus,pertinax
784,4620,Western Wood-Pewee,Pioui de l'Ouest,Passeriformes,Tyrannidae,Contopus,sordidulus
785,4610,Eastern Wood-Pewee,Pioui de l'Est,Passeriformes,Tyrannidae,Contopus,virens
788,4630,Yellow-bellied Flycatcher,Moucherolle à ventre jaune,Passeriformes,Tyrannidae,Empidonax,flaviventris
789,4650,Acadian Flycatcher,Moucherolle vert,Passeriformes,Tyrannidae,Empidonax,virescens
790,4661,Alder Flycatcher,Moucherolle des aulnes,Passeriformes,Tyrannidae,Empidonax,alnorum
791,4660,Willow Flycatcher,Moucherolle des saules,Passeriformes,Tyrannidae,Empidonax,traillii
792,4665,unid. Alder Flycatcher / Willow Flycatcher,unid Moucherolle des aulnes / des saules,Passeriformes,Tyrannidae,Empidonax,alnorum / traillii
794,4670,Least Flycatcher,Moucherolle tchébec,Passeriformes,Tyrannidae,Empidonax,minimus
795,4680,Hammond's Flycatcher,Moucherolle de Hammond,Passeriformes,Tyrannidae,Empidonax,hammondii
796,4691,Gray Flycatcher,Moucherolle gris,Passeriformes,Tyrannidae,Empidonax,wrightii
797,4690,Dusky Flycatcher,Moucherolle sombre,Passeriformes,Tyrannidae,Empidonax,oberholseri
798,4689,unid. Hammond's Flycatcher / Dusky Flycatcher,unid Moucherolle Hammond's / Moucherolle Dusky,Passeriformes,Tyrannidae,Empidonax,hammondii / oberholseri
800,4640,(Cordilleran Flycatcher) Western Flycatcher,Moucherolle obscur (groupe occidentalis),Passeriformes,Tyrannidae,Empidonax,difficilis occidentalis
801,4641,(Pacific-slope Flycatcher) Western Flycatcher,Moucherolle obscur (groupe difficilis),Passeriformes,Tyrannidae,Empidonax,difficilis difficilis
802,4642,(unid. Cordilleran / Pac-slope) Western Flycatcher,Moucherolle obscur (groupe non identifié),Passeriformes,Tyrannidae,Empidonax,difficilis
804,4700,Buff-breasted Flycatcher,Moucherolle beige,Passeriformes,Tyrannidae,Empidonax,fulvifrons
805,4679,unid. Empidonax flycatcher,unid Empidonax sp.,Passeriformes,Tyrannidae,Empidonax,sp.
806,4580,Black Phoebe,Moucherolle noir,Passeriformes,Tyrannidae,Sayornis,nigricans
807,4560,Eastern Phoebe,Moucherolle phébi,Passeriformes,Tyrannidae,Sayornis,phoebe
808,4570,Say's Phoebe,Moucherolle à ventre roux,Passeriformes,Tyrannidae,Sayornis,saya
809,4710,Vermilion Flycatcher,Moucherolle vermillon,Passeriformes,Tyrannidae,Pyrocephalus,rubinus
848,6300,Black-capped Vireo,Viréo à tête noire,Passeriformes,Vireonidae,Vireo,atricapilla
850,6310,White-eyed Vireo,Viréo aux yeux blancs,Passeriformes,Vireonidae,Vireo,griseus
855,6330,Bell's Vireo,Viréo de Bell,Passeriformes,Vireonidae,Vireo,bellii
856,6340,Gray Vireo,Viréo gris,Passeriformes,Vireonidae,Vireo,vicinior
857,6320,Hutton's Vireo,Viréo de Hutton,Passeriformes,Vireonidae,Vireo,huttoni
858,6280,Yellow-throated Vireo,Viréo à gorge jaune,Passeriformes,Vireonidae,Vireo,flavifrons
859,6291,Cassin's Vireo,Viréo de Cassin,Passeriformes,Vireonidae,Vireo,cassinii
860,6290,Blue-headed Vireo,Viréo à tête bleue,Passeriformes,Vireonidae,Vireo,solitarius
861,6295,unid. Cassin's Vireo / Blue-headed Vireo,unid Viréo de Cassin / Viréo à tête bleue,Passeriformes,Vireonidae,Vireo,cassinii / solitarius
862,6292,Plumbeous Vireo,Viréo plombé,Passeriformes,Vireonidae,Vireo,plumbeus
863,6296,unid. Plumbeous Vireo / Cassin's Vireo,unid Viréo plombé / Viréo de Cassin,Passeriformes,Vireonidae,Vireo,plumbeus / cassinii
864,6260,Philadelphia Vireo,Viréo de Philadelphie,Passeriformes,Vireonidae,Vireo,philadelphicus
865,6270,Warbling Vireo,Viréo mélodieux,Passeriformes,Vireonidae,Vireo,gilvus
867,6240,Red-eyed Vireo,Viréo aux yeux rouges,Passeriformes,Vireonidae,Vireo,olivaceus
869,6230,Black-whiskered Vireo,Viréo à moustaches,Passeriformes,Vireonidae,Vireo,altiloquus
871,6220,Loggerhead Shrike,Pie-grièche migratrice,Passeriformes,Laniidae,Lanius,ludovicianus
872,6210,Northern Shrike,Pie-grièche boréale,Passeriformes,Laniidae,Lanius,borealis
873,4840,Canada Jay,Mésangeai du Canada,Passeriformes,Corvidae,Perisoreus,canadensis
882,4830,Green Jay,Geai vert,Passeriformes,Corvidae,Cyanocorax,yncas
886,4920,Pinyon Jay,Geai des pinèdes,Passeriformes,Corvidae,Gymnorhinus,cyanocephalus
887,4780,Steller's Jay,Geai de Steller,Passeriformes,Corvidae,Cyanocitta,stelleri
888,4770,Blue Jay,Geai bleu,Passeriformes,Corvidae,Cyanocitta,cristata
889,4790,Florida Scrub-Jay,Geai à gorge blanche,Passeriformes,Corvidae,Aphelocoma,coerulescens
890,4811,Island Scrub-Jay,Geai de Santa Cruz,Passeriformes,Corvidae,Aphelocoma,insularis
891,4812,California Scrub-Jay,Geai buissonnier,Passeriformes,Corvidae,Aphelocoma,californica
892,4813,Woodhouse's Scrub-Jay,Geai de Woodhouse,Passeriformes,Corvidae,Aphelocoma,woodhouseii
893,4810,unid. California Scrub-Jay / Woodhouse's Scrub-Jay,unid Geai buissonnier / Geai de Woodhouse,Passeriformes,Corvidae,Aphelocoma,californica / woodhouseii
895,4820,Mexican Jay,Geai du Mexique,Passeriformes,Corvidae,Aphelocoma,wollweberi
897,4910,Clark's Nutcracker,Cassenoix d'Amérique,Passeriformes,Corvidae,Nucifraga,columbiana
898,4750,Black-billed Magpie,Pie d'Amérique,Passeriformes,Corvidae,Pica,hudsonia
899,4760,Yellow-billed Magpie,Pie à bec jaune,Passeriformes,Corvidae,Pica,nuttalli
900,4880,American Crow,Corneille d'Amérique,Passeriformes,Corvidae,Corvus,brachyrhynchos
904,4900,Fish Crow,Corneille de rivage,Passeriformes,Corvidae,Corvus,ossifragus
905,4881,unid. American Crow / Fish Crow,unid Corneille d'Amérique / Corneille de rivage,Passeriformes,Corvidae,Corvus,brachyrhynchos / ossifragus
907,4870,Chihuahuan Raven,Corbeau à cou blanc,Passeriformes,Corvidae,Corvus,cryptoleucus
908,4860,Common Raven,Grand Corbeau,Passeriformes,Corvidae,Corvus,corax
909,4865,unid. Chihuahuan Raven / Common Raven,unid Grand Corbeau / Corbeau à cou blanc,Passeriformes,Corvidae,Corvus,cryptoleucus / corax
910,7460,Verdin,Auripare verdin,Passeriformes,Remizidae,Auriparus,flaviceps
911,7360,Carolina Chickadee,Mésange de Caroline,Passeriformes,Paridae,Poecile,carolinensis
912,7350,Black-capped Chickadee,Mésange à tête noire,Passeriformes,Paridae,Poecile,atricapillus
913,7380,Mountain Chickadee,Mésange de Gambel,Passeriformes,Paridae,Poecile,gambeli
914,7370,Mexican Chickadee,Mésange grise,Passeriformes,Paridae,Poecile,sclateri
915,7410,Chestnut-backed Chickadee,Mésange à dos marron,Passeriformes,Paridae,Poecile,rufescens
916,7400,Boreal Chickadee,Mésange à tête brune,Passeriformes,Paridae,Poecile,hudsonicus
918,7352,unid. Carolina Chickadee / Black-capped Chickadee,unid Mésange de Caroline / Mésange à tête noire,Passeriformes,Paridae,Poecile,carolinensis / atricapillus
919,7353,unid. Black-capped Chickadee / Mountain Chickadee,unid Mésange à tête noire / Mésange de Gambel,Passeriformes,Paridae,Poecile,atricapillus / gambeli
920,7354,unid. Black-capped Chickadee / Boreal Chickadee,unid Mésange à tête noire / Mésange à tête brune,Passeriformes,Paridae,Poecile,atricapillus / hudsonicus
921,7351,unid. western chickadee species,unid Mésange sp. de l'Ouest,Passeriformes,Paridae,Poecile,sp.
922,7340,Bridled Titmouse,Mésange arlequin,Passeriformes,Paridae,Baeolophus,wollweberi
923,7330,Oak Titmouse,Mésange unicolore,Passeriformes,Paridae,Baeolophus,inornatus
924,7331,Juniper Titmouse,Mésange des genévriers,Passeriformes,Paridae,Baeolophus,ridgwayi
925,7332,unid. Oak Titmouse / Juniper Titmouse,unid unid Mésange unicolore / Mésange des genévrie,Passeriformes,Paridae,Baeolophus,inornatus / ridgwayi
926,7310,Tufted Titmouse,Mésange bicolore,Passeriformes,Paridae,Baeolophus,bicolor
927,7320,Black-crested Titmouse,Mésange à plumet noir,Passeriformes,Paridae,Baeolophus,atricristatus
928,7315,unid. Tufted Titmouse / Black-crested Titmouse,unid Mésange bicolore / Mésange à plumet noir,Passeriformes,Paridae,Baeolophus,bicolor / atricristatus
929,4730,Eurasian Skylark,Alouette des champs,Passeriformes,Alaudidae,Alauda,arvensis
930,4740,Horned Lark,Alouette hausse-col,Passeriformes,Alaudidae,Eremophila,alpestris
931,6160,Bank Swallow,Hirondelle de rivage,Passeriformes,Hirundinidae,Riparia,riparia
932,6140,Tree Swallow,Hirondelle bicolore,Passeriformes,Hirundinidae,Tachycineta,bicolor
934,6150,Violet-green Swallow,Hirondelle à face blanche,Passeriformes,Hirundinidae,Tachycineta,thalassina
938,6170,Northern Rough-winged Swallow,Hirondelle à ailes hérissées,Passeriformes,Hirundinidae,Stelgidopteryx,serripennis
940,6110,Purple Martin,Hirondelle noire,Passeriformes,Hirundinidae,Progne,subis
945,6130,Barn Swallow,Hirondelle rustique,Passeriformes,Hirundinidae,Hirundo,rustica
946,6120,Cliff Swallow,Hirondelle à front blanc,Passeriformes,Hirundinidae,Petrochelidon,pyrrhonota
947,6121,Cave Swallow,Hirondelle à front brun,Passeriformes,Hirundinidae,Petrochelidon,fulva
948,6122,unid. Cave Swallow / Cliff Swallow,unid Hirondelle à front blanc / à front brun,Passeriformes,Hirundinidae,Petrochelidon,pyrrhonota / fulva
949,7430,Bushtit,Orite buissonnière,Passeriformes,Aegithalidae,Psaltriparus,minimus
950,7470,Arctic Warbler,Pouillot boréal,Passeriformes,Phylloscopidae,Phylloscopus,borealis
953,7420,Wrentit,Cama brune,Passeriformes,Sylviidae,Chamaea,fasciata
954,7421,Swinhoe’s White-eye,Zostérops de Swinhoe,Passeriformes,Zosteropidae,Zosterops,simplex
955,7490,Ruby-crowned Kinglet,Roitelet à couronne rubis,Passeriformes,Regulidae,Corthylio,calendula
956,7480,Golden-crowned Kinglet,Roitelet à couronne dorée,Passeriformes,Regulidae,Regulus,satrapa
957,6180,Bohemian Waxwing,Jaseur boréal,Passeriformes,Bombycillidae,Bombycilla,garrulus
958,6190,Cedar Waxwing,Jaseur d'Amérique,Passeriformes,Bombycillidae,Bombycilla,cedrorum
959,6185,unid. Cedar Waxwing / Bohemian Waxwing,unid Jaseur sp.,Passeriformes,Bombycillidae,Bombycilla,garrulus / cedrorum
961,6200,Phainopepla,Phénopèple luisant,Passeriformes,Ptiliogonatidae,Phainopepla,nitens
962,7280,Red-breasted Nuthatch,Sittelle à poitrine rousse,Passeriformes,Sittidae,Sitta,canadensis
963,7270,White-breasted Nuthatch,Sittelle à poitrine blanche,Passeriformes,Sittidae,Sitta,carolinensis
964,7300,Pygmy Nuthatch,Sittelle pygmée,Passeriformes,Sittidae,Sitta,pygmaea
965,7290,Brown-headed Nuthatch,Sittelle à tête brune,Passeriformes,Sittidae,Sitta,pusilla
