Seq,AOU,English_Common_Name,French_Common_Name,Order,Family,Genus,Species
97,3020,Rock Ptarmigan,Lagopède alpin,Galliformes,Phasianidae,Lagopus,muta
98,3040,White-tailed Ptarmigan,Lagopède à queue blanche,Galliformes,Phasianidae,Lagopus,leucura
99,3090,Greater Sage-Grouse,Tétras des armoises,Galliformes,Phasianidae,Centrocercus,urophasianus
100,3089,Gunnison Sage-Grouse,Tétras du Gunnison,Galliformes,Phasianidae,Centrocercus,minimus
101,2970,Dusky Grouse,Tétras sombre,Galliformes,Phasianidae,Dendragapus,obscurus
102,2971,Sooty Grouse,Tétras fuligineux,Galliformes,Phasianidae,Dendragapus,fuliginosus
103,2973,unid. Dusky Grouse / Sooty Grouse,unid Tétras sombre / Tétras fuligineux,Galliformes,Phasianidae,Dendragapus,obscurus / fuliginosus
104,3080,Sharp-tailed Grouse,Tétras à queue fine,Galliformes,Phasianidae,Tympanuchus,phasianellus
105,3050,Greater Prairie-Chicken,Tétras des prairies,Galliformes,Phasianidae,Tympanuchus,cupido
106,3070,Lesser Prairie-Chicken,Tétras pâle,Galliformes,Phasianidae,Tympanuchus,pallidicinctus
107,2881,Gray Partridge,Perdrix grise,Galliformes,Phasianidae,Perdix,perdix
108,3091,Ring-necked Pheasant,Faisan de Colchide,Galliformes,Phasianidae,Phasianus,colchicus
109,3095,Indian Peafowl,Paon bleu,Galliformes,Phasianidae,Pavo,cristatus
111,2882,Chukar,Perdrix choukar,Galliformes,Phasianidae,Alectoris,chukar
113,50,Least Grebe,Grèbe minime,Podicipediformes,Podicipedidae,Tachybaptus,dominicus
114,60,Pied-billed Grebe,Grèbe à bec bigarré,Podicipediformes,Podicipedidae,Podilymbus,podiceps
115,30,Horned Grebe,Grèbe esclavon,Podicipediformes,Podicipedidae,Podiceps,auritus
116,20,Red-necked Grebe,Grèbe jougris,Podicipediformes,Podicipedidae,Podiceps,grisegena
117,40,Eared Grebe,Grèbe à cou noir,Podicipediformes,Podicipedidae,Podiceps,nigricollis
118,10,Western Grebe,Grèbe élégant,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis
119,11,Clark's Grebe,Grèbe à face blanche,Podicipediformes,Podicipedidae,Aechmophorus,clarkii
120,12,unid. Western Grebe / Clark's Grebe,unid Grèbe élégant / Grèbe à face blanche,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis / clarkii
121,3131,Rock Pigeon,Pigeon biset,Columbiformes,Columbidae,Columba,livia
125,3140,White-crowned Pigeon,Pigeon à couronne blanche,Columbiformes,Columbidae,Patagioenas,leucocephala
126,3130,Red-billed Pigeon,Pigeon à bec rouge,Columbiformes,Columbidae,Patagioenas,flavirostris
127,3120,Band-tailed Pigeon,Pigeon à queue barrée,Columbiformes,Columbidae,Patagioenas,fasciata
129,3152,African Collared-Dove (a.k.a. Ringed Turtle-Dove),Tourterelle rieuse,Columbiformes,Columbidae,Streptopelia,roseogrisea
130,22860,Eurasian Collared-Dove,Tourterelle turque,Columbiformes,Columbidae,Streptopelia,decaocto
131,3151,Spotted Dove,Tourterelle tigrine,Columbiformes,Columbidae,Streptopelia,chinensis
132,3210,Inca Dove,Colombe inca,Columbiformes,Columbidae,Columbina,inca
133,3200,Common Ground Dove,Colombe à queue noire,Columbiformes,Columbidae,Columbina,passerina
135,3201,Ruddy Ground Dove,Colombe rousse,Columbiformes,Columbidae,Columbina,talpacoti
